Metric,Mean,Std
Validation AUC,0.6458333333333334,0.0820209153542897
Optimal Threshold,0.4965490202109019,0.016940968372363568
,,
Test AUC (Default),0.5090643274853801,0.08617979799459977
Test Accuracy (Default),0.5238095238095238,0.14964053678543493
Test Precision (Default),0.23214285714285712,0.165600330276709
Test Recall (Default),0.43333333333333335,0.41899350299921784
Test F1 (Default),0.2732732732732733,0.20309715818511612
Test Specificity (Default),0.5740740740740741,0.42147432136077934
,,
Test AUC (Optimal),0.5090643274853801,0.08617979799459977
Test Accuracy (Optimal),0.6309523809523809,0.06070261325705699
Test Precision (Optimal),0.4261904761904762,0.14289681988689198
Test Recall (Optimal),0.34814814814814815,0.19986277871454874
Test F1 (Optimal),0.36080586080586086,0.1492196377440929
Test Specificity (Optimal),0.7641325536062378,0.1490431567533355
