Metric,Mean,Std
Validation AUC,0.5416666666666666,0.1640418307085794
Optimal Threshold,0.5211796760559082,0.004593850573409004
,,
Test AUC (Default),0.5274853801169591,0.05656112618580005
Test Accuracy (Default),0.35714285714285715,0.0291605921759902
Test Precision (Default),0.3261904761904762,0.023570226039551587
Test Recall (Default),0.8888888888888888,0.15713484026367724
Test F1 (Default),0.47553179313614885,0.04658571095227308
Test Specificity (Default),0.08771929824561403,0.12405382126079781
,,
Test AUC (Optimal),0.5274853801169591,0.05656112618580005
Test Accuracy (Optimal),0.5714285714285715,0.05832118435198045
Test Precision (Optimal),0.25396825396825395,0.18374344290143213
Test Recall (Optimal),0.38518518518518513,0.2729707521879745
Test F1 (Optimal),0.3055555555555556,0.21872244094477253
Test Specificity (Optimal),0.6588693957115009,0.20671960881237325
