Metric,Mean,Std
Validation AUC,0.8125,0.0919975090242484
Optimal Threshold,0.541722039381663,0.012182559829303908
,,
Test AUC (Default),0.5855750487329435,0.07959138566401547
Test Accuracy (Default),0.3452380952380953,0.016835875742536838
Test Precision (Default),0.32763975155279507,0.02199640720587554
Test Recall (Default),0.9259259259259259,0.10475656017578482
Test F1 (Default),0.48343409198672355,0.03632307759625263
Test Specificity (Default),0.05263157894736842,0.07443229275647868
,,
Test AUC (Optimal),0.5855750487329435,0.07959138566401547
Test Accuracy (Optimal),0.5833333333333334,0.016835875742536838
Test Precision (Optimal),0.3888888888888889,0.039283710065919325
Test Recall (Optimal),0.46296296296296297,0.09442628728875528
Test F1 (Optimal),0.4213564213564213,0.06286586121440682
Test Specificity (Optimal),0.6423001949317738,0.030790582843920687
