Metric,Mean,Std
Validation AUC,0.7916666666666666,0.11785113019775792
Optimal Threshold,0.5163807272911072,0.012067035253074267
,,
Test AUC (Default),0.44239766081871346,0.03857507232491151
Test Accuracy (Default),0.38095238095238093,0.06070261325705696
Test Precision (Default),0.31684981684981683,0.029870890897985523
Test Recall (Default),0.7777777777777777,0.24002743327436518
Test F1 (Default),0.4437615778576877,0.07347987231275
Test Specificity (Default),0.17543859649122806,0.2119832626946416
,,
Test AUC (Optimal),0.44239766081871346,0.03857507232491151
Test Accuracy (Optimal),0.5357142857142857,0.0291605921759902
Test Precision (Optimal),0.30757575757575756,0.06600915427512719
Test Recall (Optimal),0.3185185185185185,0.07332959212304938
Test F1 (Optimal),0.31176470588235294,0.06775353938498431
Test Specificity (Optimal),0.6432748538011696,0.046046829672583674
