Metric,Mean,Std
Validation AUC,0.6354040404040404,0.053625900175909055
Optimal Threshold,0.5185584247112274,0.031546212151874274
,,
Test AUC (Default),0.3673737373737374,0.12958757462029216
Test Accuracy (Default),0.40089869281045754,0.10702726637140154
Test Precision (Default),0.2582219251336898,0.13249796246538845
Test Recall (Default),0.72,0.3919183588453085
Test F1 (Default),0.37893374741200825,0.1969019478977596
Test Specificity (Default),0.23787878787878788,0.3554507995359209
,,
Test AUC (Optimal),0.3673737373737374,0.12958757462029216
Test Accuracy (Optimal),0.36004901960784313,0.11120646619598402
Test Precision (Optimal),0.2742424242424243,0.07746559412826798
Test Recall (Optimal),0.5866666666666667,0.22370615647416692
Test F1 (Optimal),0.3730392156862745,0.11699574613467856
Test Specificity (Optimal),0.25,0.06741998624632421
