Metric,Mean,Std
Validation AUC,0.7308080808080809,0.16413442098545133
Optimal Threshold,0.5324015378952026,0.027836125227018723
,,
Test AUC (Default),0.5431313131313131,0.11533814399609182
Test Accuracy (Default),0.4120098039215686,0.12891877280201133
Test Precision (Default),0.36129336349924585,0.07119679603687344
Test Recall (Default),0.9333333333333332,0.13333333333333336
Test F1 (Default),0.5171297809741746,0.08195462280233862
Test Specificity (Default),0.15454545454545457,0.185418891403374
,,
Test AUC (Optimal),0.5431313131313131,0.11533814399609182
Test Accuracy (Optimal),0.48766339869281045,0.11002521080112984
Test Precision (Optimal),0.3182051282051282,0.04901662828860932
Test Recall (Optimal),0.42000000000000004,0.15719768163402126
Test F1 (Optimal),0.34347626058152375,0.059053487307555726
Test Specificity (Optimal),0.5136363636363637,0.2386255408801216
