Metric,Mean,Std
Validation AUC,0.6212121212121212,0.08345170656028365
Optimal Threshold,0.513358986377716,0.028726403574104865
,,
Test AUC (Default),0.5189393939393939,0.1277354503295414
Test Accuracy (Default),0.5015522875816993,0.116311982594475
Test Precision (Default),0.27225490196078433,0.13834010767031565
Test Recall (Default),0.52,0.31874754901018454
Test F1 (Default),0.3507763975155279,0.18163879196498464
Test Specificity (Default),0.4803030303030303,0.3242424242424243
,,
Test AUC (Optimal),0.5189393939393939,0.1277354503295414
Test Accuracy (Optimal),0.581045751633987,0.07704105412490025
Test Precision (Optimal),0.39428571428571424,0.11485572138423875
Test Recall (Optimal),0.39333333333333326,0.06110100926607787
Test F1 (Optimal),0.3878787878787878,0.07994488459559344
Test Specificity (Optimal),0.6772727272727274,0.11171096115858647
