Metric,Mean,Std
Validation AUC,0.5504040404040405,0.09818389655696011
Optimal Threshold,0.5034087061882019,0.016989929051923865
,,
Test AUC (Default),0.4368181818181818,0.18418634513367335
Test Accuracy (Default),0.5450980392156863,0.13897599152617818
Test Precision (Default),0.28250000000000003,0.17240939649566667
Test Recall (Default),0.36666666666666664,0.339934634239519
Test F1 (Default),0.2843290043290043,0.17194866227990535
Test Specificity (Default),0.6393939393939394,0.3418203309625109
,,
Test AUC (Optimal),0.4368181818181818,0.18418634513367335
Test Accuracy (Optimal),0.43627450980392163,0.17832124645087563
Test Precision (Optimal),0.23666666666666666,0.17524585904126552
Test Recall (Optimal),0.5133333333333333,0.3768878406694019
Test F1 (Optimal),0.32303921568627453,0.23846112108018877
Test Specificity (Optimal),0.40909090909090917,0.27574092523823823
