Metric,Mean,Std
Validation AUC,0.6622843822843822,0.04494548485563146
Optimal Threshold,0.4681546092033386,0.09598432465811793
,,
Test AUC (Default),0.5550388500388501,0.18854512863507272
Test Accuracy (Default),0.5455882352941177,0.17152380366850978
Test Precision (Default),0.5193977591036415,0.26797987887576813
Test Recall (Default),0.725,0.3570714214271425
Test F1 (Default),0.47536569710482757,0.18203246284466476
Test Specificity (Default),0.49125874125874125,0.3854314292702073
,,
Test AUC (Optimal),0.5550388500388501,0.18854512863507272
Test Accuracy (Optimal),0.4757352941176471,0.10282556533184319
Test Precision (Optimal),0.2980769230769231,0.17179008795482537
Test Recall (Optimal),0.4583333333333333,0.3689323936863109
Test F1 (Optimal),0.3066993464052288,0.18221525947631959
Test Specificity (Optimal),0.5108003108003107,0.2402983912920267
