Metric,Mean,Std
Validation AUC,0.6606798756798757,0.13968277106783056
Optimal Threshold,0.4372230291366577,0.08855290503024299
,,
Test AUC (Default),0.4972377622377622,0.209116171784014
Test Accuracy (Default),0.5808823529411764,0.16229858425083993
Test Precision (Default),0.3333333333333333,0.21081851067789195
Test Recall (Default),0.51,0.36110940170535577
Test F1 (Default),0.3825974025974026,0.2402725163328259
Test Specificity (Default),0.644988344988345,0.3302262809072654
,,
Test AUC (Optimal),0.4972377622377622,0.209116171784014
Test Accuracy (Optimal),0.5213235294117646,0.19061569337426978
Test Precision (Optimal),0.4079761904761905,0.13574644564653962
Test Recall (Optimal),0.7266666666666667,0.2172044607685988
Test F1 (Optimal),0.5065789283180588,0.13375964474363672
Test Specificity (Optimal),0.39883449883449884,0.33921041940091134
