Metric,Mean,Std
Validation AUC,0.6757264957264957,0.044242627566712524
Optimal Threshold,0.5121671080589294,0.06847365989069368
,,
Test AUC (Default),0.5941103341103341,0.16613151096729267
Test Accuracy (Default),0.4977941176470588,0.16034807510634927
Test Precision (Default),0.3696428571428571,0.11201957443456896
Test Recall (Default),0.7266666666666668,0.252674582109963
Test F1 (Default),0.47643540669856466,0.1420988189861972
Test Specificity (Default),0.3609168609168609,0.2814982773902553
,,
Test AUC (Optimal),0.5941103341103341,0.16613151096729267
Test Accuracy (Optimal),0.5110294117647058,0.07418822503311436
Test Precision (Optimal),0.34714285714285714,0.06509020428511153
Test Recall (Optimal),0.5783333333333334,0.2589294198125127
Test F1 (Optimal),0.4152631578947369,0.09725313231537766
Test Specificity (Optimal),0.47859362859362864,0.17688505883456293
