Metric,Mean,Std
Validation AUC,0.6802525252525252,0.10154082795035098
Optimal Threshold,0.49121893048286436,0.060434555560054545
,,
Test AUC (Default),0.5688927738927738,0.23736059590484734
Test Accuracy (Default),0.5213235294117647,0.13021973710154638
Test Precision (Default),0.3696428571428571,0.0785263218287642
Test Recall (Default),0.7166666666666666,0.348010216963685
Test F1 (Default),0.4648998060762767,0.15024688757513457
Test Specificity (Default),0.3838772338772339,0.3041858409575455
,,
Test AUC (Optimal),0.5688927738927738,0.23736059590484734
Test Accuracy (Optimal),0.5242647058823529,0.22519215170674
Test Precision (Optimal),0.3458333333333333,0.27118566825454965
Test Recall (Optimal),0.5666666666666667,0.37785946829182115
Test F1 (Optimal),0.4048701298701299,0.29520040446978213
Test Specificity (Optimal),0.5196192696192696,0.3355577059477035
