config,n_pca_components,model,fold,n_features,val_auc,optimal_threshold,test_auc,test_acc,test_prec,test_rec,test_f1
pca_30,30,LogisticRegression_L2,0,42,0.5285125386465133,0.00028981014371449743,0.6666666666666666,0.4,0.34146341463414637,0.8235294117647058,0.4827586206896552
pca_30,30,LogisticRegression_L2,1,42,0.5930232558139535,0.4785356251688092,0.3414634146341463,0.35947712418300654,0.0,0.0,0.0
pca_30,30,LogisticRegression_L2,2,42,0.5300492610837438,0.001945504645476853,0.8275193798449613,0.46357615894039733,0.3467741935483871,1.0,0.5149700598802395
pca_30,30,LogisticRegression_L2,3,42,0.5481818181818181,0.001980763274931517,0.647536945812808,0.3509933774834437,0.22608695652173913,0.7428571428571429,0.3466666666666667
pca_30,30,LogisticRegression_L2,4,42,0.38859180035650626,0.9270762503735996,0.26795454545454545,0.4930555555555556,0.19148936170212766,0.20454545454545456,0.1978021978021978
pca_30,30,RandomForest,0,42,0.36636894537959463,0.125,0.7459893048128342,0.34,0.34,1.0,0.5074626865671642
pca_30,30,RandomForest,1,42,0.6976744186046513,0.35,0.33622466506355203,0.4117647058823529,0.32727272727272727,0.2535211267605634,0.2857142857142857
pca_30,30,RandomForest,2,42,0.31724137931034485,0.27,0.7655038759689923,0.46357615894039733,0.3467741935483871,1.0,0.5149700598802395
pca_30,30,RandomForest,3,42,0.6849999999999999,0.28,0.5023399014778325,0.3509933774834437,0.17525773195876287,0.4857142857142857,0.25757575757575757
pca_30,30,RandomForest,4,42,0.4919786096256685,0.46,0.23136363636363633,0.5625,0.0,0.0,0.0
pca_30,30,XGBoost,0,42,0.38028169014084506,0.0045170532539486885,0.8770053475935828,0.52,0.4146341463414634,1.0,0.5862068965517241
pca_30,30,XGBoost,1,42,0.6162790697674418,0.003319799667224288,0.30144280316042593,0.35294117647058826,0.32926829268292684,0.38028169014084506,0.35294117647058826
pca_30,30,XGBoost,2,42,0.4189655172413793,0.4459588825702667,0.8430232558139534,0.7615894039735099,0.5813953488372093,0.5813953488372093,0.5813953488372093
pca_30,30,XGBoost,3,42,0.595,0.061985619366168976,0.4701970443349754,0.5231788079470199,0.23943661971830985,0.4857142857142857,0.32075471698113206
pca_30,30,XGBoost,4,42,0.6203208556149733,0.22235766053199768,0.6297727272727273,0.6875,0.4857142857142857,0.38636363636363635,0.43037974683544306
pca_30,30,LightGBM,0,42,0.39728615596015115,1.8040863194234464e-05,0.695187165775401,0.46,0.38636363636363635,1.0,0.5573770491803278
pca_30,30,LightGBM,1,42,0.6782945736434108,3.361692663108282e-05,0.42511164548265196,0.46405228758169936,0.43209876543209874,0.49295774647887325,0.4605263157894737
pca_30,30,LightGBM,2,42,0.3059113300492611,0.00012879313046883142,0.6744186046511628,0.2847682119205298,0.2847682119205298,1.0,0.44329896907216493
pca_30,30,LightGBM,3,42,0.6134090909090909,0.0648522249270746,0.6497536945812807,0.6423841059602649,0.32075471698113206,0.4857142857142857,0.38636363636363635
pca_30,30,LightGBM,4,42,0.5008912655971479,0.24683682774567348,0.4763636363636363,0.6875,0.47058823529411764,0.18181818181818182,0.26229508196721313
pca_50,50,LogisticRegression_L2,0,62,0.724836825833047,3.548965690395198e-207,0.6390374331550802,0.58,0.4375,0.8235294117647058,0.5714285714285714
pca_50,50,LogisticRegression_L2,1,62,0.7083333333333333,1.0,0.5354689110271385,0.5294117647058824,0.4943820224719101,0.6197183098591549,0.55
pca_50,50,LogisticRegression_L2,2,62,0.5144088669950739,1.0,0.40600775193798444,0.4105960264900662,0.2125,0.3953488372093023,0.2764227642276423
pca_50,50,LogisticRegression_L2,3,62,0.6686363636363636,0.0987610601182979,0.4923645320197044,0.47019867549668876,0.26804123711340205,0.7428571428571429,0.3939393939393939
pca_50,50,LogisticRegression_L2,4,62,0.45454545454545453,0.41062665235879153,0.43999999999999995,0.5625,0.24324324324324326,0.20454545454545456,0.2222222222222222
pca_50,50,RandomForest,0,62,0.4019237375472346,0.12,0.7878787878787878,0.34,0.34,1.0,0.5074626865671642
pca_50,50,RandomForest,1,62,0.6937984496124031,0.38,0.2527481964960494,0.4117647058823529,0.32727272727272727,0.2535211267605634,0.2857142857142857
pca_50,50,RandomForest,2,62,0.28817733990147787,0.3960452925986425,0.8158914728682171,0.7019867549668874,0.48863636363636365,1.0,0.6564885496183206
pca_50,50,RandomForest,3,62,0.6985227272727272,0.28,0.5145320197044335,0.47019867549668876,0.26804123711340205,0.7428571428571429,0.3939393939393939
pca_50,50,RandomForest,4,62,0.5080213903743316,0.39,0.32238636363636364,0.6319444444444444,0.0,0.0,0.0
pca_50,50,XGBoost,0,62,0.5115080728272071,0.054508745670318604,0.82174688057041,0.76,0.5862068965517241,1.0,0.7391304347826086
pca_50,50,XGBoost,1,62,0.6298449612403101,0.01038298662751913,0.35709378220542765,0.29411764705882354,0.2465753424657534,0.2535211267605634,0.25
pca_50,50,XGBoost,2,62,0.15517241379310343,0.009915490634739399,0.7267441860465116,0.2847682119205298,0.2847682119205298,1.0,0.44329896907216493
pca_50,50,XGBoost,3,62,0.7054545454545454,0.015540583059191704,0.49014778325123154,0.4105960264900662,0.24528301886792453,0.7428571428571429,0.36879432624113473
pca_50,50,XGBoost,4,62,0.5311942959001783,0.3779391050338745,0.5213636363636364,0.6319444444444444,0.3333333333333333,0.20454545454545456,0.2535211267605634
pca_50,50,LightGBM,0,62,0.45602885606320853,0.011171640416585438,0.9376114081996434,0.8266666666666667,0.7906976744186046,0.6666666666666666,0.723404255319149
pca_50,50,LightGBM,1,62,0.560077519379845,0.00011380087658407742,0.11130195809000343,0.35294117647058826,0.1956521739130435,0.1267605633802817,0.15384615384615385
pca_50,50,LightGBM,2,62,0.24384236453201968,9.358943777462727e-05,0.813953488372093,0.2847682119205298,0.2847682119205298,1.0,0.44329896907216493
pca_50,50,LightGBM,3,62,0.5747727272727272,0.0012635349629855598,0.6497536945812807,0.5894039735099338,0.36082474226804123,1.0,0.5303030303030303
pca_50,50,LightGBM,4,62,0.4723707664884136,0.15703691002635478,0.6072727272727273,0.6875,0.4857142857142857,0.38636363636363635,0.43037974683544306
pca_100,100,LogisticRegression_L2,0,112,0.11971830985915492,inf,0.3939393939393939,0.66,0.0,0.0,0.0
pca_100,100,LogisticRegression_L2,1,112,0.5106589147286822,1.0,0.45508416351769143,0.47058823529411764,0.38636363636363635,0.23943661971830985,0.2956521739130435
pca_100,100,LogisticRegression_L2,2,112,0.6041871921182267,1.0,0.499031007751938,0.46357615894039733,0.2840909090909091,0.5813953488372093,0.3816793893129771
pca_100,100,LogisticRegression_L2,3,112,0.5254545454545454,1.0,0.6960591133004925,0.6556291390728477,0.38028169014084506,0.7714285714285715,0.5094339622641509
pca_100,100,LogisticRegression_L2,4,112,0.3458110516934046,inf,0.31590909090909086,0.6944444444444444,0.0,0.0,0.0
pca_100,100,RandomForest,0,112,0.38646513225695633,0.11,0.7433155080213905,0.34,0.34,1.0,0.5074626865671642
pca_100,100,RandomForest,1,112,0.6453488372093023,0.3276367252443424,0.25197526623153554,0.4117647058823529,0.32727272727272727,0.2535211267605634,0.2857142857142857
pca_100,100,RandomForest,2,112,0.5586206896551724,0.43178994974794915,0.8856589147286822,0.8807947019867549,0.7049180327868853,1.0,0.8269230769230769
pca_100,100,RandomForest,3,112,0.5950000000000001,0.3509295217576263,0.5854679802955665,0.5231788079470199,0.32710280373831774,1.0,0.49295774647887325
pca_100,100,RandomForest,4,112,0.39928698752228164,0.3133540824569577,0.3090909090909091,0.5486111111111112,0.3090909090909091,0.38636363636363635,0.3434343434343434
pca_100,100,XGBoost,0,112,0.4821367227756785,0.08532430976629257,0.8128342245989304,0.78,0.75,0.5294117647058824,0.6206896551724138
pca_100,100,XGBoost,1,112,0.6647286821705426,0.01224846113473177,0.29062177945723117,0.29411764705882354,0.2465753424657534,0.2535211267605634,0.25
pca_100,100,XGBoost,2,112,0.19507389162561573,0.018279673531651497,0.8294573643410853,0.3443708609271523,0.3028169014084507,1.0,0.4648648648648649
pca_100,100,XGBoost,3,112,0.5768181818181818,0.00779309868812561,0.6896551724137931,0.2913907284768212,0.24647887323943662,1.0,0.3954802259887006
