config,n_pca_components,model,test_auc_mean,test_auc_std,test_f1_mean,test_f1_std,n_features_first
pca_150,150,LightGBM,0.6440689627004554,0.16410495924461183,0.35715104406128095,0.26902877572092393,162
pca_150,150,XGBoost,0.6278333904766594,0.1948661603771286,0.4306493891392183,0.19865926082934887,162
pca_30,30,XGBoost,0.6242882356351329,0.24480313309057847,0.4543355771352194,0.12473249672860806,42
pca_100,100,XGBoost,0.6242864354349352,0.2285724348082315,0.42940694920519584,0.13357016849149406,112
pca_50,50,LightGBM,0.6239786553031496,0.3155300213274217,0.45624643107518825,0.20563337079498764,62
pca_100,100,LightGBM,0.5968299633190701,0.24777834052135528,0.40461012088811676,0.25817589913378186,112
pca_30,30,LightGBM,0.5841669493708265,0.1241899904067816,0.4219722104745632,0.10844408228715605,42
pca_50,50,XGBoost,0.5834192536874434,0.18782690159540955,0.41094897137129427,0.20075775640579,62
pca_100,100,RandomForest,0.5551017156736167,0.27295675701976513,0.4912984278235487,0.21037856866929883,112
pca_30,30,LogisticRegression_L2,0.5502281904826255,0.2362088369486067,0.30843950900775186,0.2132363020639768,42
pca_50,50,RandomForest,0.5386873681167703,0.2588770435155266,0.3687209831678329,0.24776030556529083,62
pca_30,30,RandomForest,0.5162842767373694,0.2390975163154166,0.3131445579474894,0.21236342312315026,42
pca_50,50,LogisticRegression_L2,0.5025757256279815,0.09089708840535111,0.402802590363566,0.15713170030015802,62
pca_100,100,LogisticRegression_L2,0.47200455388372137,0.1428960611534401,0.23735310509803434,0.2296354957185384,112
pca_150,150,RandomForest,0.4670487446093941,0.18781359793338054,0.36873004831195033,0.06196723216216181,162
pca_150,150,LogisticRegression_L2,0.41194608733036003,0.1120120742100895,0.23112554663434834,0.22132032063076132,162
