config,model,fold,n_features,val_auc,test_auc,test_f1
cnn_only_max,XGBoost,0,2048,0.5277777777777778,0.6060606060606061,0.47058823529411764
cnn_only_max,XGBoost,1,2048,0.6833333333333335,0.375,0.0
cnn_only_max,XGBoost,2,2048,0.40384615384615385,0.8333333333333334,0.3333333333333333
cnn_only_max,XGBoost,3,2048,0.6000000000000001,0.36538461538461536,0.2
cnn_only_max,XGBoost,4,2048,0.5,0.2909090909090909,0.47619047619047616
cnn_only_max,RandomForest,0,2048,0.4444444444444444,0.4696969696969697,0.4444444444444444
cnn_only_max,RandomForest,1,2048,0.8,0.5972222222222222,0.0
cnn_only_max,RandomForest,2,2048,0.4807692307692308,0.7666666666666667,0.42105263157894735
cnn_only_max,RandomForest,3,2048,0.4545454545454546,0.5192307692307693,0.25
cnn_only_max,RandomForest,4,2048,0.4393939393939394,0.45454545454545453,0.0
cnn_only_mean,XGBoost,0,2048,0.5,0.6060606060606061,0.42105263157894735
cnn_only_mean,XGBoost,1,2048,0.7000000000000001,0.6111111111111112,0.3333333333333333
cnn_only_mean,XGBoost,2,2048,0.4807692307692307,0.75,0.5
cnn_only_mean,XGBoost,3,2048,0.6727272727272727,0.423076923076923,0.35294117647058826
cnn_only_mean,XGBoost,4,2048,0.42424242424242425,0.34545454545454546,0.4
cnn_only_mean,RandomForest,0,2048,0.5277777777777779,0.5303030303030303,0.4444444444444444
cnn_only_mean,RandomForest,1,2048,0.7833333333333334,0.4583333333333333,0.0
cnn_only_mean,RandomForest,2,2048,0.5384615384615384,0.7666666666666667,0.4444444444444444
cnn_only_mean,RandomForest,3,2048,0.41818181818181815,0.5192307692307693,0.0
cnn_only_mean,RandomForest,4,2048,0.4848484848484848,0.5454545454545455,0.0
hand_demo,XGBoost,0,12,0.194778426657506,0.912655971479501,0.0
hand_demo,XGBoost,1,12,0.5290697674418605,0.32772243215389896,0.0
hand_demo,XGBoost,2,12,0.5608374384236453,0.5813953488372093,0.2764227642276423
hand_demo,XGBoost,3,12,0.7443181818181819,0.2748768472906404,0.2706766917293233
hand_demo,XGBoost,4,12,0.2816399286987522,0.5256818181818181,0.0
hand_demo,RandomForest,0,12,0.3462727585022329,0.8734402852049911,0.5074626865671642
hand_demo,RandomForest,1,12,0.4903100775193798,0.41738234283751285,0.0
hand_demo,RandomForest,2,12,0.5630541871921182,0.4437984496124031,0.36879432624113473
hand_demo,RandomForest,3,12,0.8200000000000001,0.39458128078817734,0.18556701030927836
hand_demo,RandomForest,4,12,0.3582887700534759,0.5259090909090909,0.0
cnn_max_hand_demo,XGBoost,0,2060,0.5717966334592923,0.6042780748663102,0.4489795918367347
cnn_max_hand_demo,XGBoost,1,2060,0.5833333333333333,0.3416351769151494,0.2857142857142857
cnn_max_hand_demo,XGBoost,2,2060,0.4544334975369458,0.8255813953488371,0.48863636363636365
cnn_max_hand_demo,XGBoost,3,2060,0.734090909090909,0.3926108374384236,0.27419354838709675
cnn_max_hand_demo,XGBoost,4,2060,0.5365418894830659,0.34159090909090906,0.0
cnn_max_hand_demo,RandomForest,0,2060,0.5687049124012367,0.6417112299465242,0.4489795918367347
cnn_max_hand_demo,RandomForest,1,2060,0.8430232558139535,0.27962899347303327,0.0
cnn_max_hand_demo,RandomForest,2,2060,0.4724137931034482,0.7558139534883721,0.44329896907216493
cnn_max_hand_demo,RandomForest,3,2060,0.44772727272727275,0.46465517241379317,0.0
cnn_max_hand_demo,RandomForest,4,2060,0.43137254901960786,0.3679545454545454,0.0
