model,fold,val_auc,optimal_threshold,test_auc_default,test_acc_default,test_prec_default,test_rec_default,test_f1_default,test_auc_optimal,test_acc_optimal,test_prec_optimal,test_rec_optimal,test_f1_optimal
LogisticRegression_L2,0,0.610443146684988,0.000521324312979912,0.536541889483066,0.6,0.3333333333333333,0.17647058823529413,0.23076923076923078,0.536541889483066,0.4,0.3142857142857143,0.6470588235294118,0.4230769230769231
LogisticRegression_L2,1,0.7325581395348837,0.6672738912449377,0.30436276193747847,0.41830065359477125,0.0,0.0,0.0,0.30436276193747847,0.41830065359477125,0.0,0.0,0.0
LogisticRegression_L2,2,0.4967980295566503,0.018340512070225613,0.8430232558139534,0.7615894039735099,0.5573770491803278,0.7906976744186046,0.6538461538461539,0.8430232558139534,0.5231788079470199,0.35051546391752575,0.7906976744186046,0.4857142857142857
LogisticRegression_L2,3,0.5540909090909091,0.0031500956518708194,0.6298029556650246,0.6423841059602649,0.32075471698113206,0.4857142857142857,0.38636363636363635,0.6298029556650246,0.4105960264900662,0.24528301886792453,0.7428571428571429,0.36879432624113473
LogisticRegression_L2,4,0.4866310160427807,0.5134644176980747,0.3518181818181818,0.4930555555555556,0.17777777777777778,0.18181818181818182,0.1797752808988764,0.3518181818181818,0.4375,0.0,0.0,0.0
LogisticRegression_L1,0,0.6923737547234627,0.3208164938749687,0.518716577540107,0.5866666666666667,0.37209302325581395,0.3137254901960784,0.3404255319148936,0.518716577540107,0.5866666666666667,0.37209302325581395,0.3137254901960784,0.3404255319148936
LogisticRegression_L1,1,0.6802325581395349,0.3729713801284116,0.28272071453108893,0.2875816993464052,0.2361111111111111,0.23943661971830985,0.23776223776223776,0.28272071453108893,0.2875816993464052,0.2361111111111111,0.23943661971830985,0.23776223776223776
LogisticRegression_L1,2,0.4477832512315271,0.039863970234696997,0.7131782945736433,0.7019867549668874,0.4857142857142857,0.7906976744186046,0.6017699115044248,0.7131782945736433,0.5231788079470199,0.3739130434782609,1.0,0.5443037974683544
LogisticRegression_L1,3,0.4313636363636364,0.5701002697592725,0.4923645320197044,0.5827814569536424,0.27419354838709675,0.4857142857142857,0.35051546391752575,0.4923645320197044,0.5827814569536424,0.27419354838709675,0.4857142857142857,0.35051546391752575
LogisticRegression_L1,4,0.4777183600713012,0.6091653338087363,0.40272727272727277,0.5555555555555556,0.3148148148148148,0.38636363636363635,0.3469387755102041,0.40272727272727277,0.6180555555555556,0.37777777777777777,0.38636363636363635,0.38202247191011235
