Metric,Mean,Std
Validation AUC,0.617979797979798,0.12866902814665093
Optimal Threshold,0.5085060596466064,0.02570307464587089
,,
Test AUC (Default),0.5886519036519037,0.12573656137559722
Test Accuracy (Default),0.5617647058823529,0.1430028915428614
Test Precision (Default),0.48058608058608054,0.2833058061929183
Test Recall (Default),0.5583333333333333,0.30894084295289354
Test F1 (Default),0.42525252525252527,0.1641344209854513
Test Specificity (Default),0.5419968919968919,0.28978963520573225
,,
Test AUC (Optimal),0.5886519036519037,0.12573656137559722
Test Accuracy (Optimal),0.5264705882352941,0.17058823529411765
Test Precision (Optimal),0.4157575757575757,0.14447142504250046
Test Recall (Optimal),0.6799999999999999,0.11224972160321826
Test F1 (Optimal),0.496140350877193,0.12023573848941674
Test Specificity (Optimal),0.45881895881895884,0.23533248690035
