metric,value
val_auc,0.7000000000000001
optimal_threshold,0.5561249256134033
test_threshold_default,0.5
test_auc_default,0.5972222222222222
test_accuracy_default,0.5294117647058824
test_precision_default,0.5
test_recall_default,0.875
test_f1_default,0.6363636363636364
test_specificity_default,0.2222222222222222
test_threshold_optimal,0.5561249256134033
test_auc_optimal,0.5972222222222222
test_accuracy_optimal,0.5882352941176471
test_precision_optimal,0.5454545454545454
test_recall_optimal,0.75
test_f1_optimal,0.631578947368421
test_specificity_optimal,0.4444444444444444
