metric,value
val_auc,0.5277777777777778
optimal_threshold,0.46190792322158813
test_threshold_default,0.5
test_auc_default,0.6666666666666667
test_accuracy_default,0.6470588235294118
test_precision_default,0.0
test_recall_default,0.0
test_f1_default,0.0
test_specificity_default,1.0
test_threshold_optimal,0.46190792322158813
test_auc_optimal,0.6666666666666667
test_accuracy_optimal,0.35294117647058826
test_precision_optimal,0.3076923076923077
test_recall_optimal,0.6666666666666666
test_f1_optimal,0.42105263157894735
test_specificity_optimal,0.18181818181818182
