metric,value
val_auc,0.6666666666666667
optimal_threshold,0.5506448745727539
test_threshold_default,0.5
test_auc_default,0.5757575757575757
test_accuracy_default,0.47058823529411764
test_precision_default,0.36363636363636365
test_recall_default,0.6666666666666666
test_f1_default,0.47058823529411764
test_specificity_default,0.36363636363636365
test_threshold_optimal,0.5506448745727539
test_auc_optimal,0.5757575757575757
test_accuracy_optimal,0.6470588235294118
test_precision_optimal,0.5
test_recall_optimal,0.5
test_f1_optimal,0.5
test_specificity_optimal,0.7272727272727273
