metric,value
val_auc,0.6527777777777779
optimal_threshold,0.5592580437660217
test_threshold_default,0.5
test_auc_default,0.5757575757575757
test_accuracy_default,0.4117647058823529
test_precision_default,0.35714285714285715
test_recall_default,0.8333333333333334
test_f1_default,0.5
test_specificity_default,0.18181818181818182
test_threshold_optimal,0.5592580437660217
test_auc_optimal,0.5757575757575757
test_accuracy_optimal,0.6470588235294118
test_precision_optimal,0.5
test_recall_optimal,0.5
test_f1_optimal,0.5
test_specificity_optimal,0.7272727272727273
