metric,value
val_auc,0.4027777777777778
optimal_threshold,0.47401225566864014
test_threshold_default,0.5
test_auc_default,0.42424242424242425
test_accuracy_default,0.4117647058823529
test_precision_default,0.25
test_recall_default,0.3333333333333333
test_f1_default,0.2857142857142857
test_specificity_default,0.45454545454545453
test_threshold_optimal,0.47401225566864014
test_auc_optimal,0.42424242424242425
test_accuracy_optimal,0.35294117647058826
test_precision_optimal,0.2222222222222222
test_recall_optimal,0.3333333333333333
test_f1_optimal,0.26666666666666666
test_specificity_optimal,0.36363636363636365
