Metric,Mean,Std
Validation AUC,0.6655477855477855,0.13916848401377416
Optimal Threshold,0.4708524763584137,0.03857366129246791
,,
Test AUC (Default),0.6224941724941725,0.17012414534785097
Test Accuracy (Default),0.5338235294117648,0.09794603414909833
Test Precision (Default),0.3758297258297259,0.10487910791327106
Test Recall (Default),0.6383333333333333,0.20382454328280597
Test F1 (Default),0.46706606087411046,0.12055721932550642
Test Specificity (Default),0.47307692307692306,0.12775105007730964
,,
Test AUC (Optimal),0.6224941724941725,0.17012414534785097
Test Accuracy (Optimal),0.5213235294117646,0.12479221484456934
Test Precision (Optimal),0.39396103896103896,0.06237674640566942
Test Recall (Optimal),0.7683333333333333,0.13106402167558334
Test F1 (Optimal),0.5144736842105263,0.06557860944409008
Test Specificity (Optimal),0.39883449883449884,0.17851643157883484
