Metric,Mean,Std
Validation AUC,0.6611888111888111,0.12465938073124248
Optimal Threshold,0.5225463926792144,0.038731481557333615
,,
Test AUC (Default),0.5918958818958818,0.15451280378169824
Test Accuracy (Default),0.5441176470588236,0.1901556455911131
Test Precision (Default),0.35693815987933636,0.24951736864913113
Test Recall (Default),0.64,0.36660605559646725
Test F1 (Default),0.42800000000000005,0.24463669207850058
Test Specificity (Default),0.47843822843822836,0.41278457880957303
,,
Test AUC (Optimal),0.5918958818958818,0.15451280378169824
Test Accuracy (Optimal),0.5330882352941176,0.15691252273922415
Test Precision (Optimal),0.4057142857142857,0.1524523642191523
Test Recall (Optimal),0.5349999999999999,0.2364318083507378
Test F1 (Optimal),0.4276190476190476,0.10329711895585712
Test Specificity (Optimal),0.5475912975912977,0.21003388823586133
