metric,value
val_auc,0.6923076923076923
optimal_threshold,0.5119395852088928
test_threshold_default,0.5
test_auc_default,0.8166666666666665
test_accuracy_default,0.8235294117647058
test_precision_default,0.75
test_recall_default,0.6
test_f1_default,0.6666666666666666
test_specificity_default,0.9166666666666666
test_threshold_optimal,0.5119395852088928
test_auc_optimal,0.8166666666666665
test_accuracy_optimal,0.7647058823529411
test_precision_optimal,0.6666666666666666
test_recall_optimal,0.4
test_f1_optimal,0.5
test_specificity_optimal,0.9166666666666666
