metric,value
val_auc,0.8333333333333333
optimal_threshold,0.5070130228996277
test_threshold_default,0.5
test_auc_default,0.47222222222222215
test_accuracy_default,0.5882352941176471
test_precision_default,0.6
test_recall_default,0.375
test_f1_default,0.46153846153846156
test_specificity_default,0.7777777777777778
test_threshold_optimal,0.5070130228996277
test_auc_optimal,0.47222222222222215
test_accuracy_optimal,0.5882352941176471
test_precision_optimal,0.6666666666666666
test_recall_optimal,0.25
test_f1_optimal,0.36363636363636365
test_specificity_optimal,0.8888888888888888
