Metric,Mean,Std
Validation AUC,0.7283333333333333,0.10460867653599087
Optimal Threshold,0.4947974503040314,0.023052680660917334
,,
Test AUC (Default),0.48515151515151517,0.12622367075825278
Test Accuracy (Default),0.4958333333333334,0.1456707365107567
Test Precision (Default),0.3004583651642475,0.1655629101474624
Test Recall (Default),0.5533333333333333,0.39417987997585285
Test F1 (Default),0.338558352402746,0.1943647338783917
Test Specificity (Default),0.4727272727272728,0.41221032904562305
,,
Test AUC (Optimal),0.48515151515151517,0.12622367075825278
Test Accuracy (Optimal),0.502859477124183,0.07902823006636257
Test Precision (Optimal),0.2538095238095238,0.13648984745412343
Test Recall (Optimal),0.3466666666666667,0.21249836600678967
Test F1 (Optimal),0.2875702075702075,0.1551482852382918
Test Specificity (Optimal),0.5757575757575758,0.17669551196500913
