Metric,Mean,Std
Validation AUC,0.7302020202020201,0.14961038404325433
Optimal Threshold,0.5085704535245895,0.22262670042673113
,,
Test AUC (Default),0.526969696969697,0.1287019321060243
Test Accuracy (Default),0.5347222222222222,0.16844812372792348
Test Precision (Default),0.310952380952381,0.18798127952338012
Test Recall (Default),0.5,0.33333333333333337
Test F1 (Default),0.36247086247086246,0.20741991718251424
Test Specificity (Default),0.55,0.3522067386874639
,,
Test AUC (Optimal),0.526969696969697,0.1287019321060243
Test Accuracy (Optimal),0.5506535947712419,0.16839045925567445
Test Precision (Optimal),0.3583333333333333,0.2260776661041756
Test Recall (Optimal),0.5133333333333333,0.3276854860651868
Test F1 (Optimal),0.397979797979798,0.22744998699050614
Test Specificity (Optimal),0.5606060606060607,0.31550097175322117
