Metric,Mean,Std
Validation AUC,0.5945454545454545,0.19089850860521443
Optimal Threshold,0.48060203194618223,0.16754034528238615
,,
Test AUC (Default),0.49611111111111106,0.2092530723329712
Test Accuracy (Default),0.48619281045751633,0.15342702214940965
Test Precision (Default),0.16666666666666666,0.15491933384829668
Test Recall (Default),0.39333333333333337,0.42290004072409887
Test F1 (Default),0.2276190476190476,0.2259452304553758
Test Specificity (Default),0.5287878787878787,0.39313437560446174
,,
Test AUC (Optimal),0.49611111111111106,0.2092530723329712
Test Accuracy (Optimal),0.49861111111111117,0.13936328056347366
Test Precision (Optimal),0.27444444444444444,0.1704605236512454
Test Recall (Optimal),0.52,0.33572475498704457
Test F1 (Optimal),0.3572549019607843,0.22448505728843082
Test Specificity (Optimal),0.4818181818181818,0.23983465378678034
