Metric,Mean,Std
Validation AUC,0.5836363636363636,0.13636498315833234
Optimal Threshold,0.4858267068862915,0.08075256128380702
,,
Test AUC (Default),0.5417676767676768,0.126856743631368
Test Accuracy (Default),0.5825980392156863,0.09231317573594779
Test Precision (Default),0.29333333333333333,0.18306040290327977
Test Recall (Default),0.37333333333333335,0.27600322059312604
Test F1 (Default),0.32,0.20504741998972933
Test Specificity (Default),0.6909090909090909,0.18719327529067276
,,
Test AUC (Optimal),0.5417676767676768,0.126856743631368
Test Accuracy (Optimal),0.5396241830065359,0.10456367379692724
Test Precision (Optimal),0.35666666666666663,0.11430952132988166
Test Recall (Optimal),0.4600000000000001,0.2164357744099724
Test F1 (Optimal),0.3883333333333333,0.1269344148724543
Test Specificity (Optimal),0.5742424242424242,0.1748933821879767
