Experiment,Description,N_Runs,Mean_AUC,Std_AUC,Mean_F1,Std_F1,Mean_Recall,Std_Recall,Mean_Precision,Std_Precision,Mean_Specificity,Std_Specificity
hand_only,Hand-crafted features only (Clinical Baseline),5,0.5982,0.1655,0.4203,0.1398,0.4933,0.1914,0.3738,0.1064,0.6061,0.0958
hand_demo,Hand-crafted + Demographics (Clinical Baseline),5,0.5524,0.1031,0.3056,0.1674,0.3933,0.2533,0.2699,0.1367,0.5955,0.2407
cnn_mean,CNN mean pooling (Best CNN Configuration),5,0.6461,0.0834,0.3111,0.2548,0.4200,0.3513,0.2490,0.2035,0.6652,0.2202
best_cnn_hand_demo,CNN + Hand-crafted + Demographics (FULL MODEL),5,0.6641,0.1019,0.3857,0.0857,0.4267,0.2542,0.6190,0.3130,0.6879,0.3072
best_cnn_demo,CNN + Demographics (Ablation without hand-crafted),5,0.5492,0.1202,0.3717,0.0984,0.3933,0.2048,0.4417,0.1280,0.7030,0.2279
hand_only_fvc0,❗ Hand-crafted + FVC(0) [CLINICAL BENCHMARK - Expected AUC>0.65],5,0.6172,0.1385,0.4726,0.1787,0.4600,0.1718,0.5433,0.2724,0.7333,0.2205
best_cnn_hand_fvc0,❗ CNN + Hand + FVC(0) [Does imaging add value over FVC?],5,0.6402,0.0716,0.3517,0.2141,0.3933,0.2533,0.3356,0.1978,0.7167,0.2206
best_cnn_hand_demo_fvc0,❗ FULLY LOADED [Everything: CNN + Hand + Demo + FVC(0)],5,0.6997,0.0469,0.3619,0.1077,0.4267,0.2542,0.3857,0.0680,0.6333,0.2561
cnn_mean_pca,🔬 CNN mean pooling + PCA [Test dimensionality reduction],5,0.5648,0.1303,0.3044,0.2068,0.3400,0.2947,0.3369,0.2146,0.6758,0.2218
best_cnn_hand_pca,🔬 CNN + Hand-crafted + PCA [Reduced CNN dimensions],5,0.5167,0.0726,0.1250,0.1581,0.1400,0.1960,0.1267,0.1555,0.8182,0.2371
best_cnn_hand_demo_pca,🔬 CNN + Hand + Demo + PCA [Full model with PCA],5,0.4598,0.1289,0.2896,0.2582,0.3867,0.3337,0.2323,0.2118,0.6242,0.2336
best_cnn_hand_fvc0_pca,🔬 CNN + Hand + FVC(0) + PCA [Clinical + PCA-reduced imaging],5,0.5657,0.0983,0.2361,0.2159,0.3333,0.3801,0.2369,0.2036,0.6924,0.3086
