feature,display_name,group,mean_abs_shap,std_abs_shap
FVC_normalized,FVC Baseline,FVC Baseline,0.08866197926522064,0.10482526789869435
Avg_NumTissuePixel_30_60,Avg. Tissue Pixels,Hand-crafted,0.08761785966383549,0.06149316998313884
Kurtosis_30_60,HU Kurtosis,Hand-crafted,0.02268321389778667,0.019028168636337967
Avg_Tissue_thickness_30_60,Avg. Tissue Thickness,Hand-crafted,0.017690203531165755,0.01414515456775129
Skew_30_60,HU Skewness,Hand-crafted,0.017563200515405764,0.024717735531676693
Avg_TissueByLung_30_60,Tissue/Lung Ratio,Hand-crafted,0.016056196874098434,0.01709967199087595
ApproxVol_30_60,Approx. Volume,Hand-crafted,0.00803865539430149,0.007167972281644172
Avg_Tissue_30_60,Avg. Tissue HU,Hand-crafted,0.007284529089840735,0.005145810903640161
Mean_30_60,Mean HU,Hand-crafted,0.007138852920866653,0.007195721934506131
Avg_TissueByTotal_30_60,Tissue/Total Ratio,Hand-crafted,0.0022499701102432846,0.002972542818340178
