feature,display_name,group,mean_abs_shap,std_abs_shap
cnn_emb_32,cnn_emb_32,CNN Embedding,0.011020539369077617,0.022041078738155234
cnn_emb_764,cnn_emb_764,CNN Embedding,0.010755636991251243,0.021511273982502487
cnn_emb_402,cnn_emb_402,CNN Embedding,0.009729144364670745,0.019426342348393605
cnn_emb_385,cnn_emb_385,CNN Embedding,0.008827347162126468,0.017654694324252932
cnn_emb_34,cnn_emb_34,CNN Embedding,0.008789223328134404,0.017578446656268808
cnn_emb_1189,cnn_emb_1189,CNN Embedding,0.008644403476602145,0.01728880695320429
cnn_emb_1511,cnn_emb_1511,CNN Embedding,0.00649489350365232,0.012989787007304642
cnn_emb_1696,cnn_emb_1696,CNN Embedding,0.005711211448132999,0.011422422896265999
cnn_emb_447,cnn_emb_447,CNN Embedding,0.0037100585246814103,0.00742011704936282
cnn_emb_1342,cnn_emb_1342,CNN Embedding,0.00336140820202739,0.00672281640405478
cnn_emb_1759,cnn_emb_1759,CNN Embedding,0.003274110791520788,0.006548221583041576
cnn_emb_457,cnn_emb_457,CNN Embedding,0.0032611959292175056,0.006522391858435011
cnn_emb_1219,cnn_emb_1219,CNN Embedding,0.0029774740856640517,0.0059549481713281035
cnn_emb_831,cnn_emb_831,CNN Embedding,0.0025117189555940314,0.005023437911188062
cnn_emb_1833,cnn_emb_1833,CNN Embedding,0.0025069916009771856,0.005013983201954371
cnn_emb_2023,cnn_emb_2023,CNN Embedding,0.0024721222364709984,0.004944244472941997
cnn_emb_19,cnn_emb_19,CNN Embedding,0.002376757991807969,0.004740217097259459
cnn_emb_1878,cnn_emb_1878,CNN Embedding,0.0023463886416917983,0.0046927772833835965
cnn_emb_1762,cnn_emb_1762,CNN Embedding,0.0022199167348318756,0.004439833469663751
cnn_emb_128,cnn_emb_128,CNN Embedding,0.0020952159481839954,0.004190431896367992
cnn_emb_305,cnn_emb_305,CNN Embedding,0.0020760085696424234,0.004152017139284846
cnn_emb_261,cnn_emb_261,CNN Embedding,0.0019500224373283869,0.003900044874656774
cnn_emb_151,cnn_emb_151,CNN Embedding,0.001853491160233378,0.003706982320466756
cnn_emb_1898,cnn_emb_1898,CNN Embedding,0.0017505022775705426,0.0035010045551410853
cnn_emb_413,cnn_emb_413,CNN Embedding,0.0015110149840956422,0.0030220299681912844
cnn_emb_76,cnn_emb_76,CNN Embedding,0.0013467500360444533,0.0026935000720889066
cnn_emb_160,cnn_emb_160,CNN Embedding,0.0013343615204528814,0.0026687230409057627
cnn_emb_69,cnn_emb_69,CNN Embedding,0.0009813481118232342,0.001962696223646468
cnn_emb_645,cnn_emb_645,CNN Embedding,0.0008976442099547213,0.0017952884199094426
cnn_emb_60,cnn_emb_60,CNN Embedding,0.0008334694754695875,0.0016669389509391752
cnn_emb_221,cnn_emb_221,CNN Embedding,0.0007384648793270373,0.0014769297586540748
cnn_emb_11,cnn_emb_11,CNN Embedding,0.0007153200872706563,0.0014306401745413128
cnn_emb_676,cnn_emb_676,CNN Embedding,0.0007019802651884353,0.0014039605303768708
cnn_emb_303,cnn_emb_303,CNN Embedding,0.0006362555698228398,0.0012725111396456796
cnn_emb_121,cnn_emb_121,CNN Embedding,0.0005569310070614237,0.0011138620141228474
cnn_emb_285,cnn_emb_285,CNN Embedding,0.0005330702606893493,0.0010661405213786986
cnn_emb_1419,cnn_emb_1419,CNN Embedding,0.0004985068263148336,0.0009970136526296673
cnn_emb_40,cnn_emb_40,CNN Embedding,0.0004784481168432663,0.0009568962336865327
cnn_emb_810,cnn_emb_810,CNN Embedding,0.0004560175349820527,0.0009120350699641054
cnn_emb_0,cnn_emb_0,CNN Embedding,0.0004067163198898417,0.0008124825648087735
cnn_emb_79,cnn_emb_79,CNN Embedding,0.00037654717850526956,0.0007530943570105391
cnn_emb_1699,cnn_emb_1699,CNN Embedding,0.0003657772667123998,0.0007315545334247996
cnn_emb_83,cnn_emb_83,CNN Embedding,0.0003591143752881217,0.0007182287505762435
cnn_emb_1,cnn_emb_1,CNN Embedding,0.0003333600991383133,0.0006667201982766265
cnn_emb_539,cnn_emb_539,CNN Embedding,0.0002932034695255261,0.0005864069390510522
cnn_emb_45,cnn_emb_45,CNN Embedding,0.00011264760091529815,0.0002252952018305963
cnn_emb_1607,cnn_emb_1607,CNN Embedding,8.574281386795145e-05,0.0001714856277359029
cnn_emb_1988,cnn_emb_1988,CNN Embedding,4.3357620569496864e-05,8.671524113899373e-05
cnn_emb_580,cnn_emb_580,CNN Embedding,3.644994797062438e-05,7.289989594124877e-05
cnn_emb_1083,cnn_emb_1083,CNN Embedding,3.314136395067565e-05,6.62827279013513e-05
cnn_emb_294,cnn_emb_294,CNN Embedding,2.7525485576921972e-05,5.505097115384395e-05
cnn_emb_330,cnn_emb_330,CNN Embedding,2.5041443058242997e-05,5.0082886116486e-05
cnn_emb_179,cnn_emb_179,CNN Embedding,1.633384221904933e-05,3.266768443809866e-05
cnn_emb_1951,cnn_emb_1951,CNN Embedding,1.2654664648941872e-05,2.5309329297883745e-05
cnn_emb_1652,cnn_emb_1652,CNN Embedding,1.1920873009568539e-05,2.3841746019137075e-05
cnn_emb_27,cnn_emb_27,CNN Embedding,8.257495742744384e-06,1.6514991485488767e-05
cnn_emb_1673,cnn_emb_1673,CNN Embedding,7.17142740771586e-06,1.4342854815431722e-05
cnn_emb_1857,cnn_emb_1857,CNN Embedding,5.451438715418689e-06,1.0902877430837377e-05
cnn_emb_17,cnn_emb_17,CNN Embedding,5.089536124466995e-06,1.017907224893399e-05
cnn_emb_1656,cnn_emb_1656,CNN Embedding,5.069759238120345e-06,1.013951847624069e-05
cnn_emb_736,cnn_emb_736,CNN Embedding,4.403102431348468e-06,8.806204862696936e-06
cnn_emb_1477,cnn_emb_1477,CNN Embedding,4.394958121552953e-06,8.789916243105905e-06
cnn_emb_284,cnn_emb_284,CNN Embedding,3.962118990900724e-06,7.924237981801448e-06
cnn_emb_30,cnn_emb_30,CNN Embedding,3.907466972586373e-06,7.814933945172748e-06
cnn_emb_450,cnn_emb_450,CNN Embedding,3.833370385865879e-06,7.666740771731757e-06
cnn_emb_190,cnn_emb_190,CNN Embedding,3.7441561903881086e-06,7.488312380776217e-06
cnn_emb_8,cnn_emb_8,CNN Embedding,3.700886586184286e-06,7.401773172368572e-06
cnn_emb_22,cnn_emb_22,CNN Embedding,3.673162368408052e-06,7.346324736816103e-06
cnn_emb_816,cnn_emb_816,CNN Embedding,3.615407766460706e-06,7.230815532921413e-06
cnn_emb_1603,cnn_emb_1603,CNN Embedding,3.1234856860338663e-06,6.246971372067733e-06
cnn_emb_1937,cnn_emb_1937,CNN Embedding,2.3976737018392395e-06,4.795347403678479e-06
cnn_emb_343,cnn_emb_343,CNN Embedding,1.4246170301639663e-06,2.8492340603279327e-06
cnn_emb_6,cnn_emb_6,CNN Embedding,1.6880523935668223e-08,3.3761047871336446e-08
cnn_emb_7,cnn_emb_7,CNN Embedding,2.3418766925686897e-18,4.6837533851373795e-18
cnn_emb_37,cnn_emb_37,CNN Embedding,0.0,0.0
cnn_emb_38,cnn_emb_38,CNN Embedding,0.0,0.0
cnn_emb_39,cnn_emb_39,CNN Embedding,0.0,0.0
cnn_emb_41,cnn_emb_41,CNN Embedding,0.0,0.0
cnn_emb_42,cnn_emb_42,CNN Embedding,0.0,0.0
cnn_emb_43,cnn_emb_43,CNN Embedding,0.0,0.0
cnn_emb_44,cnn_emb_44,CNN Embedding,0.0,0.0
cnn_emb_46,cnn_emb_46,CNN Embedding,0.0,0.0
cnn_emb_47,cnn_emb_47,CNN Embedding,0.0,0.0
cnn_emb_48,cnn_emb_48,CNN Embedding,0.0,0.0
cnn_emb_49,cnn_emb_49,CNN Embedding,0.0,0.0
cnn_emb_50,cnn_emb_50,CNN Embedding,0.0,0.0
cnn_emb_51,cnn_emb_51,CNN Embedding,0.0,0.0
cnn_emb_52,cnn_emb_52,CNN Embedding,0.0,0.0
cnn_emb_53,cnn_emb_53,CNN Embedding,0.0,0.0
cnn_emb_54,cnn_emb_54,CNN Embedding,0.0,0.0
cnn_emb_55,cnn_emb_55,CNN Embedding,0.0,0.0
cnn_emb_56,cnn_emb_56,CNN Embedding,0.0,0.0
cnn_emb_57,cnn_emb_57,CNN Embedding,0.0,0.0
cnn_emb_58,cnn_emb_58,CNN Embedding,0.0,0.0
cnn_emb_59,cnn_emb_59,CNN Embedding,0.0,0.0
cnn_emb_61,cnn_emb_61,CNN Embedding,0.0,0.0
cnn_emb_62,cnn_emb_62,CNN Embedding,0.0,0.0
cnn_emb_63,cnn_emb_63,CNN Embedding,0.0,0.0
cnn_emb_64,cnn_emb_64,CNN Embedding,0.0,0.0
cnn_emb_65,cnn_emb_65,CNN Embedding,0.0,0.0
cnn_emb_66,cnn_emb_66,CNN Embedding,0.0,0.0
cnn_emb_67,cnn_emb_67,CNN Embedding,0.0,0.0
cnn_emb_68,cnn_emb_68,CNN Embedding,0.0,0.0
cnn_emb_70,cnn_emb_70,CNN Embedding,0.0,0.0
cnn_emb_71,cnn_emb_71,CNN Embedding,0.0,0.0
cnn_emb_72,cnn_emb_72,CNN Embedding,0.0,0.0
cnn_emb_73,cnn_emb_73,CNN Embedding,0.0,0.0
cnn_emb_74,cnn_emb_74,CNN Embedding,0.0,0.0
cnn_emb_75,cnn_emb_75,CNN Embedding,0.0,0.0
cnn_emb_77,cnn_emb_77,CNN Embedding,0.0,0.0
cnn_emb_78,cnn_emb_78,CNN Embedding,0.0,0.0
cnn_emb_80,cnn_emb_80,CNN Embedding,0.0,0.0
cnn_emb_81,cnn_emb_81,CNN Embedding,0.0,0.0
cnn_emb_82,cnn_emb_82,CNN Embedding,0.0,0.0
cnn_emb_84,cnn_emb_84,CNN Embedding,0.0,0.0
cnn_emb_85,cnn_emb_85,CNN Embedding,0.0,0.0
cnn_emb_86,cnn_emb_86,CNN Embedding,0.0,0.0
cnn_emb_87,cnn_emb_87,CNN Embedding,0.0,0.0
cnn_emb_88,cnn_emb_88,CNN Embedding,0.0,0.0
cnn_emb_89,cnn_emb_89,CNN Embedding,0.0,0.0
cnn_emb_90,cnn_emb_90,CNN Embedding,0.0,0.0
cnn_emb_91,cnn_emb_91,CNN Embedding,0.0,0.0
cnn_emb_92,cnn_emb_92,CNN Embedding,0.0,0.0
cnn_emb_93,cnn_emb_93,CNN Embedding,0.0,0.0
cnn_emb_94,cnn_emb_94,CNN Embedding,0.0,0.0
cnn_emb_95,cnn_emb_95,CNN Embedding,0.0,0.0
cnn_emb_96,cnn_emb_96,CNN Embedding,0.0,0.0
cnn_emb_97,cnn_emb_97,CNN Embedding,0.0,0.0
cnn_emb_98,cnn_emb_98,CNN Embedding,0.0,0.0
cnn_emb_99,cnn_emb_99,CNN Embedding,0.0,0.0
cnn_emb_100,cnn_emb_100,CNN Embedding,0.0,0.0
cnn_emb_101,cnn_emb_101,CNN Embedding,0.0,0.0
cnn_emb_102,cnn_emb_102,CNN Embedding,0.0,0.0
cnn_emb_103,cnn_emb_103,CNN Embedding,0.0,0.0
cnn_emb_104,cnn_emb_104,CNN Embedding,0.0,0.0
cnn_emb_105,cnn_emb_105,CNN Embedding,0.0,0.0
cnn_emb_106,cnn_emb_106,CNN Embedding,0.0,0.0
cnn_emb_107,cnn_emb_107,CNN Embedding,0.0,0.0
cnn_emb_108,cnn_emb_108,CNN Embedding,0.0,0.0
cnn_emb_109,cnn_emb_109,CNN Embedding,0.0,0.0
cnn_emb_110,cnn_emb_110,CNN Embedding,0.0,0.0
cnn_emb_111,cnn_emb_111,CNN Embedding,0.0,0.0
cnn_emb_112,cnn_emb_112,CNN Embedding,0.0,0.0
cnn_emb_113,cnn_emb_113,CNN Embedding,0.0,0.0
cnn_emb_114,cnn_emb_114,CNN Embedding,0.0,0.0
cnn_emb_115,cnn_emb_115,CNN Embedding,0.0,0.0
cnn_emb_116,cnn_emb_116,CNN Embedding,0.0,0.0
cnn_emb_117,cnn_emb_117,CNN Embedding,0.0,0.0
cnn_emb_118,cnn_emb_118,CNN Embedding,0.0,0.0
cnn_emb_119,cnn_emb_119,CNN Embedding,0.0,0.0
cnn_emb_120,cnn_emb_120,CNN Embedding,0.0,0.0
