feature,display_name,group,mean_abs_shap,std_abs_shap
cnn_emb_1759,cnn_emb_1759,CNN Embedding,0.11740009351007501,0.20117456187237026
cnn_emb_385,cnn_emb_385,CNN Embedding,0.061749646184730146,0.10646670333907586
cnn_emb_764,cnn_emb_764,CNN Embedding,0.05212172190148704,0.10424344380297407
cnn_emb_1189,cnn_emb_1189,CNN Embedding,0.05091933046868106,0.05210041504163397
cnn_emb_389,cnn_emb_389,CNN Embedding,0.02778531128409919,0.03485270047913404
cnn_emb_1878,cnn_emb_1878,CNN Embedding,0.0201139347244411,0.028851631425845955
cnn_emb_1897,cnn_emb_1897,CNN Embedding,0.015931739045582684,0.03186347809116537
cnn_emb_511,cnn_emb_511,CNN Embedding,0.015881945364787937,0.016716560374606615
cnn_emb_881,cnn_emb_881,CNN Embedding,0.01583102448057274,0.03166204896114548
cnn_emb_19,cnn_emb_19,CNN Embedding,0.012639149889377244,0.02527829977875447
cnn_emb_267,cnn_emb_267,CNN Embedding,0.01113795731283124,0.02227589122868918
cnn_emb_413,cnn_emb_413,CNN Embedding,0.010953059823757855,0.015639194441737787
cnn_emb_34,cnn_emb_34,CNN Embedding,0.010636165048547884,0.017793125558244326
cnn_emb_1724,cnn_emb_1724,CNN Embedding,0.01057590913382504,0.02115181826765008
cnn_emb_682,cnn_emb_682,CNN Embedding,0.010525646359846565,0.019077210489101635
cnn_emb_730,cnn_emb_730,CNN Embedding,0.01043965814296664,0.012790694879271435
cnn_emb_223,cnn_emb_223,CNN Embedding,0.009661561834848667,0.019323123669697333
cnn_emb_1474,cnn_emb_1474,CNN Embedding,0.009116416947222943,0.018232833894445886
cnn_emb_1453,cnn_emb_1453,CNN Embedding,0.008547657255629938,0.016893193455827685
cnn_emb_224,cnn_emb_224,CNN Embedding,0.008524829887979085,0.016979020137092918
cnn_emb_1253,cnn_emb_1253,CNN Embedding,0.008403814867120349,0.016807629734240697
cnn_emb_1589,cnn_emb_1589,CNN Embedding,0.008359975948952863,0.016719951897905726
cnn_emb_1020,cnn_emb_1020,CNN Embedding,0.008285870136184904,0.01657174027236981
cnn_emb_32,cnn_emb_32,CNN Embedding,0.008267491671430758,0.01653498334286152
cnn_emb_2020,cnn_emb_2020,CNN Embedding,0.007701328875211555,0.01540265775042311
cnn_emb_615,cnn_emb_615,CNN Embedding,0.00749267828845474,0.010705132464606784
cnn_emb_1372,cnn_emb_1372,CNN Embedding,0.007382200600816758,0.00909185243025549
cnn_emb_27,cnn_emb_27,CNN Embedding,0.0073470994671066365,0.009788911206658493
cnn_emb_1762,cnn_emb_1762,CNN Embedding,0.007331425645475206,0.009509122894186912
cnn_emb_402,cnn_emb_402,CNN Embedding,0.007020879858441924,0.014041759716883848
cnn_emb_458,cnn_emb_458,CNN Embedding,0.006811702738625402,0.013623405477250803
cnn_emb_1229,cnn_emb_1229,CNN Embedding,0.006737755508198176,0.013475511016396352
cnn_emb_1639,cnn_emb_1639,CNN Embedding,0.006685512233590053,0.013371024467180106
cnn_emb_1972,cnn_emb_1972,CNN Embedding,0.0065226377585130045,0.010104907695817815
cnn_emb_148,cnn_emb_148,CNN Embedding,0.006443420320905079,0.012886840641810159
cnn_emb_1511,cnn_emb_1511,CNN Embedding,0.006135020482879551,0.012270040965759104
cnn_emb_834,cnn_emb_834,CNN Embedding,0.006040526424213073,0.012081052848426145
cnn_emb_1584,cnn_emb_1584,CNN Embedding,0.005796503217253061,0.011593006434506122
cnn_emb_1526,cnn_emb_1526,CNN Embedding,0.005257284311034519,0.006605774059390354
cnn_emb_1598,cnn_emb_1598,CNN Embedding,0.005159150096724145,0.01031830019344829
