feature,display_name,group,mean_abs_shap,std_abs_shap
Avg_NumTissuePixel_30_60,Avg. Tissue Pixels,Hand-crafted,0.06106540128642114,0.033431194833788515
FVC_normalized,FVC Baseline,FVC Baseline,0.045795361318911355,0.037431762539862905
ApproxVol_30_60,Approx. Volume,Hand-crafted,0.022610255829946618,0.01280595776929328
Avg_Tissue_thickness_30_60,Avg. Tissue Thickness,Hand-crafted,0.019101194605472056,0.014314633522012692
Avg_TissueByTotal_30_60,Tissue/Total Ratio,Hand-crafted,0.015191826162029529,0.016909166123897732
Kurtosis_30_60,HU Kurtosis,Hand-crafted,0.014559054885867433,0.007401067338365725
Skew_30_60,HU Skewness,Hand-crafted,0.014524807365984896,0.008385696461586909
Mean_30_60,Mean HU,Hand-crafted,0.009207600828436996,0.007860331014851988
Avg_Tissue_30_60,Avg. Tissue HU,Hand-crafted,0.009142297433064776,0.007188924877329455
Avg_TissueByLung_30_60,Tissue/Lung Ratio,Hand-crafted,0.008388412990604195,0.007520580388951919
