epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,-3.6397848,0.013766995,-3.6724112,-3.6035433,-3.6483297,-3.6319392,-4.732245,7.191636,-0.14453472491589509,1.0924602,7.193639,0.0019143063
10,-3.7569609,0.0339521,-3.8039641,-3.6735804,-3.7853026,-3.7369916,-4.732245,7.191636,0.05192118840867433,0.97528416,7.1899533,0.0047210534
15,-3.9853892,0.19766614,-4.2512665,-3.4762864,-4.1688304,-3.8842664,-4.732245,7.191636,0.1489199351939437,0.7468564,7.1648664,0.027485559
20,-4.365672,0.26925686,-4.588177,-3.4607387,-4.5327854,-4.2245007,-4.732245,7.191636,0.16077735759786155,0.36657327,7.153283,0.037440278
25,-4.2556567,0.4259823,-4.7419615,-3.29307,-4.6435328,-3.9508173,-4.732245,7.191636,0.14605184813232736,0.4765882,7.1418653,0.059233017
30,-4.1813197,0.7123796,-4.782507,-2.0716722,-4.638462,-3.7559557,-4.732245,7.191636,0.13757392158815304,0.55092525,7.128638,0.099056676
35,-4.101245,0.83579504,-4.8448515,-1.7873145,-4.713999,-3.8149552,-4.732245,7.191636,0.12017981007548643,0.6310003,7.139569,0.11621765
40,-4.2162347,0.78089714,-4.914195,-1.9549631,-4.8330984,-3.7532248,-4.732245,7.191636,0.177281695977406,0.51601,7.0949435,0.108584076
45,-4.1829686,0.8943385,-4.9659595,-1.7444286,-4.8382983,-3.4694974,-4.732245,7.191636,0.14850277970919884,0.5492769,7.114014,0.12435814
50,-4.289473,0.8663405,-4.974845,-1.7621567,-4.8474836,-3.8843381,-4.732245,7.191636,0.15185575851760777,0.4427726,7.111816,0.12046501
55,-4.380616,0.8447221,-4.9706254,-1.789922,-4.900552,-4.0699596,-4.732245,7.191636,0.15230614679822282,0.3516291,7.1121507,0.11745896
60,-4.142346,0.95800495,-4.975653,-1.6907471,-4.8230777,-3.4285889,-4.732245,7.191636,0.14723796504331954,0.5898991,7.1139703,0.13321099
