epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,0.12284884,0.058319215,-0.04453844,0.22493424,0.08614694,0.15057239,-0.008067396,0.94385874,-0.052162784480628735,0.13091625,0.9486902,0.061788075
10,0.24527511,0.0498521,0.03632216,0.33344248,0.22468787,0.27411598,-0.008067396,0.94385874,0.15136453744849865,0.2533425,0.9376087,0.05281733
15,-0.15017273,0.02312282,-0.20223546,-0.11240834,-0.16128749,-0.13337356,-0.008067396,0.94385874,0.19534125142036188,-0.14210533,0.93961555,0.024498178
20,0.009817613,0.017194351,-0.02526875,0.04049029,0.0002603326,0.023970488,-0.008067396,0.94385874,0.15767950905670777,0.017885007,0.94130075,0.018217081
25,0.11999839,0.021430753,0.057085905,0.16355292,0.1076269,0.13317278,-0.008067396,0.94385874,-0.018507305595527577,0.1280658,0.9444984,0.022705467
30,-0.0074175443,0.031473,-0.10550064,0.037433337,-0.016593892,0.009513596,-0.008067396,0.94385874,-0.04796273980626015,0.0006498499,0.9458908,0.033345032
35,0.07988058,0.07240244,-0.15871336,0.26351297,0.04750181,0.108161844,-0.008067396,0.94385874,-0.07167526120802137,0.087947965,0.9517918,0.07670898
40,-0.051215623,0.04449206,-0.16954769,0.06544776,-0.07138872,-0.029813377,-0.008067396,0.94385874,-0.19917199607526845,-0.043148216,0.9537174,0.04713847
45,0.092577904,0.11508777,-0.21764669,0.43153435,0.0329898,0.11614374,-0.008067396,0.94385874,-0.23525580459785114,0.10064527,0.97735596,0.12193326
50,0.035046704,0.12670918,-0.34242162,0.33926296,-0.012431034,0.08034974,-0.008067396,0.94385874,-0.2917552808602744,0.0431141,0.9882863,0.13424592
55,0.07155955,0.22325985,-0.548759,0.7027601,-0.01872773,0.12024711,-0.008067396,0.94385874,-0.25879563460001787,0.07962693,1.0245897,0.23653947
60,0.0038201762,0.15108503,-0.5160955,0.30912375,-0.05119798,0.07701975,-0.008067396,0.94385874,-0.24000246877414233,0.011887574,0.99103284,0.16007166
65,0.043125954,0.13221936,-0.36408898,0.32826272,-0.004845926,0.0943881,-0.008067396,0.94385874,-0.2634734678644064,0.051193345,0.98697126,0.14008385
70,0.013510522,0.13408281,-0.4234588,0.28616515,-0.021761559,0.074072346,-0.008067396,0.94385874,-0.26116188359378406,0.02157793,0.9873957,0.14205813
75,0.017772099,0.12918556,-0.37302417,0.28692532,-0.04607061,0.089753285,-0.008067396,0.94385874,-0.3308149562035147,0.025839515,0.99409884,0.1368696
80,0.024127124,0.16903925,-0.44956756,0.4291396,-0.050340574,0.086922154,-0.008067396,0.94385874,-0.3244670168754687,0.032194514,1.0114249,0.17909381
