epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,-0.12858388,0.21251665,-0.59972596,0.29089704,-0.2584133,0.059437603,-0.008067396,0.94385874,0.2384494654868582,-0.12051648,0.91671884,0.22515726
10,-0.21904908,0.20977923,-0.6327543,0.20734628,-0.3297015,-0.09852477,-0.008067396,0.94385874,0.20135816843988172,-0.21098168,0.9247367,0.22225702
15,0.31046858,0.15528452,-0.082211174,0.5416708,0.20152266,0.40921625,-0.008067396,0.94385874,0.2414937720371268,0.31853595,0.9187996,0.16452093
20,-0.05630799,0.2906318,-0.77469075,0.50310963,-0.18405604,0.1413054,-0.008067396,0.94385874,0.06911087726027007,-0.048240602,0.9682044,0.30791876
25,-0.038985673,0.22974609,-0.41206387,0.5102108,-0.20533234,0.1267073,-0.008067396,0.94385874,0.04406637737780242,-0.030918295,0.9615306,0.24341151
30,0.061753478,0.26325285,-0.6057741,0.5265023,-0.07424915,0.25775257,-0.008067396,0.94385874,0.08309635174223647,0.069820866,0.9585807,0.2789113
35,0.051545948,0.22711356,-0.44092593,0.47114062,-0.053143356,0.24769865,-0.008067396,0.94385874,0.0561821829379317,0.05961335,0.95831263,0.2406224
40,-0.00023359571,0.2762664,-0.6451882,0.5617241,-0.1702027,0.22649355,-0.008067396,0.94385874,0.08387891544557466,0.007833804,0.9609623,0.2926989
45,0.019160168,0.28068578,-0.64754933,0.56089634,-0.1846169,0.23421887,-0.008067396,0.94385874,0.10602804453095929,0.027227543,0.95575845,0.29738113
50,0.004854403,0.27104148,-0.63663214,0.5265412,-0.20608681,0.22332254,-0.008067396,0.94385874,0.06785050338450963,0.012921775,0.9641665,0.2871632
55,-0.01381072,0.2752858,-0.6445463,0.50265837,-0.20264111,0.20519155,-0.008067396,0.94385874,0.049456672141683956,-0.0057433215,0.9700262,0.29165998
