epoch,pred_mean,pred_std,pred_min,pred_max,pred_q25,pred_q75,true_mean,true_std,correlation,residual_mean,residual_std,mode_collapse_score
5,-3.7081757,0.021495182,-3.7599561,-3.6554172,-3.7196453,-3.6938894,-5.3316655,5.1833467,0.11397939919503458,1.62349,5.1809406,0.00414697
10,-4.165667,0.01812383,-4.185853,-4.097425,-4.178072,-4.1585884,-5.3316655,5.1833467,0.23964169961828322,1.1659977,5.1790338,0.0034965498
15,-4.4328494,0.063281834,-4.487063,-4.2911696,-4.4797783,-4.424281,-5.3316655,5.1833467,0.33163896321366365,0.89881545,5.1627054,0.0122086825
20,-4.885207,0.32115012,-5.111826,-3.8120804,-5.086755,-4.8262563,-5.3316655,5.1833467,0.28202918806975885,0.44645837,5.102085,0.061958063
25,-4.5582485,1.5215403,-5.448682,-0.084106654,-5.439766,-4.3788147,-5.3316655,5.1833467,0.2770809950210699,0.7734174,4.981132,0.293544
30,-5.38065,0.37810075,-5.582356,-4.047036,-5.569671,-5.426553,-5.3316655,5.1833467,0.26744979271794894,-0.048985183,5.095266,0.0729453
35,-4.8402576,1.4893919,-5.776428,0.33654222,-5.760596,-4.431884,-5.3316655,5.1833467,0.34775894185103234,0.49140754,4.8699026,0.28734174
40,-5.146295,1.3689935,-5.92407,-1.1310091,-5.917316,-5.338339,-5.3316655,5.1833467,0.3418163505711419,0.18537034,4.887759,0.2641138
45,-5.2572284,1.3879939,-6.0163846,-1.109777,-6.008238,-5.2995214,-5.3316655,5.1833467,0.2948655327503813,0.07443694,4.954879,0.2677795
50,-5.085669,1.5930182,-6.078584,-0.6447301,-6.0578556,-5.061022,-5.3316655,5.1833467,0.31757703741878923,0.24599674,4.9153047,0.3073339
55,-5.498919,1.2086161,-6.132099,-1.3657081,-6.1225157,-5.7039456,-5.3316655,5.1833467,0.2516281543135037,-0.16725314,5.01748,0.23317292
60,-5.3023233,1.5068523,-6.1523376,-0.9550788,-6.1367664,-5.38039,-5.3316655,5.1833467,0.2964676992728016,0.029341834,4.9504085,0.2907103
