fold,slope
1,-4.04149055480957
1,-3.9904966354370117
1,-3.8751258850097656
1,-3.9527525901794434
1,-3.956990957260132
1,-4.019502639770508
1,-3.997495174407959
1,-3.980255126953125
1,-3.9251768589019775
1,-3.904304027557373
1,-4.035457611083984
1,-4.028076648712158
1,-4.006047248840332
1,-4.03359842300415
1,-3.9982733726501465
1,-3.984231472015381
1,-3.9643096923828125
1,-3.9486796855926514
1,-3.8341407775878906
1,-3.9427146911621094
1,-3.973989486694336
1,-3.978911876678467
1,-4.001725673675537
1,-4.016603469848633
1,-3.9856274127960205
1,-4.000470161437988
1,-4.037032127380371
1,-3.957772970199585
1,-4.0417704582214355
1,-3.905733823776245
1,-3.7712061405181885
1,-3.996018409729004
1,-4.0150980949401855
1,-3.836965322494507
1,-4.071587562561035
1,-3.9342381954193115
2,-2.4736807346343994
2,-2.2883026599884033
2,-2.645900249481201
2,-2.67975115776062
2,-2.3935418128967285
2,-2.623581886291504
2,-2.460350513458252
2,-2.4601240158081055
2,-2.4522597789764404
2,-2.4598803520202637
2,-2.6491878032684326
2,-2.364254951477051
2,-2.5588455200195312
2,-2.635345458984375
2,-2.4686484336853027
2,-2.5642569065093994
2,-2.529372215270996
2,-2.5622799396514893
2,-2.6389288902282715
2,-2.6157546043395996
2,-2.7719154357910156
2,-2.7226643562316895
2,-2.658400774002075
2,-2.396164894104004
2,-2.5137457847595215
2,-2.5589096546173096
2,-2.644434690475464
2,-2.686833381652832
2,-2.6170530319213867
2,-2.7551698684692383
2,-2.783895492553711
2,-2.6229512691497803
2,-2.714965343475342
2,-2.4797487258911133
2,-2.613938808441162
3,-5.027236461639404
3,-4.98079776763916
3,-4.853549003601074
3,-4.962531089782715
3,-5.084115982055664
3,-5.046487808227539
3,-4.6106953620910645
3,-5.085476398468018
3,-5.033400535583496
3,-5.088220596313477
3,-4.355566501617432
3,-5.021775722503662
3,-5.076071262359619
3,-5.069942951202393
3,-5.030107498168945
3,-4.999510765075684
3,-5.027094841003418
3,-4.941320419311523
3,-3.5548224449157715
3,-5.076359748840332
3,-4.361909866333008
3,-5.091808795928955
3,-4.692267417907715
3,-5.073208808898926
3,-4.877111434936523
3,-5.092787742614746
3,-5.057564735412598
3,-4.971478462219238
3,-4.782502174377441
3,-4.324523448944092
3,-5.0419745445251465
3,-4.8785080909729
3,-4.531743049621582
3,-5.043575763702393
3,-4.90625
4,-3.542729616165161
4,-3.666781425476074
4,-3.641359806060791
4,-3.615849494934082
4,-3.6520557403564453
4,-3.804286003112793
4,-3.629505157470703
4,-3.7720947265625
4,-3.6292572021484375
4,-3.601905345916748
4,-3.6381473541259766
4,-3.7833926677703857
4,-3.69879150390625
4,-3.6373543739318848
4,-3.7200729846954346
4,-3.710597038269043
4,-3.6876349449157715
4,-3.71915864944458
4,-3.66605544090271
4,-3.5994110107421875
4,-3.7142386436462402
4,-3.799760103225708
4,-3.830519199371338
4,-3.8207454681396484
4,-3.7614498138427734
4,-3.752436637878418
4,-3.807833194732666
4,-3.5856378078460693
4,-3.786129951477051
4,-3.631709575653076
4,-3.506662130355835
4,-3.6630003452301025
4,-3.6005330085754395
4,-3.6378204822540283
4,-3.7124674320220947
5,-4.171344757080078
5,-4.620891571044922
5,-3.6844563484191895
5,-4.530647277832031
5,-4.748645782470703
5,-4.757610321044922
5,-4.653576850891113
5,-4.533613204956055
5,-4.480389595031738
5,-4.043693542480469
5,-4.519678115844727
5,-4.775742530822754
5,-4.781939506530762
5,-3.417663335800171
5,-4.748681545257568
5,-4.646749019622803
5,-4.258563995361328
5,-4.667694568634033
5,-4.234722137451172
5,-4.725107192993164
5,-4.765933990478516
5,-4.7330121994018555
5,-4.594454288482666
5,-4.787926197052002
5,-4.284286975860596
5,-4.761377334594727
5,-4.383728981018066
5,-4.180671691894531
5,-4.658810138702393
5,-4.524260520935059
5,-4.01981258392334
5,-4.761490821838379
5,-4.78410005569458
5,-4.306678771972656
5,-4.673050880432129
