fold,slope
1,-4.589683358346625
1,-5.073613472706426
1,-4.8878114054937605
1,-4.120636361535391
1,-4.1766056680490715
1,-4.621097515935036
1,-4.5063527028066925
1,-4.491634424252724
1,-4.230693405415127
1,-4.343276902802586
1,-4.50449977917153
1,-4.375732749791108
1,-4.258482045596723
1,-4.417871876284953
1,-4.289005991366229
1,-4.381401149952647
1,-4.256680775705454
1,-4.727463982731179
1,-4.9359552769326935
1,-4.449039863326622
1,-4.1431364029308995
1,-4.596372679563932
1,-4.493427469167321
1,-4.344029471473306
1,-4.612712135522651
1,-4.342661699033208
1,-4.1938057387100285
1,-4.646277430582437
1,-4.845160215770218
1,-4.638605430555435
1,-5.310248834041561
1,-4.357408280856023
1,-4.631897411150294
1,-4.000443280452702
1,-4.570160892065033
1,-4.669304159861699
2,-2.634001029502571
2,-3.3436007068619507
2,-2.8788868243611905
2,-3.093209474657437
2,-2.101498257045264
2,-2.9559189174285194
2,-2.9206665065047113
2,-2.5251777232944312
2,-2.944304968240039
2,-2.6986456979365494
2,-2.9095399345248394
2,-2.857843069681314
2,-3.131363466827491
2,-2.7157961531001793
2,-2.9174439462912005
2,-2.383291677407104
2,-3.3578963743283037
2,-3.1601974420365204
2,-3.287347808613117
2,-2.617079872259143
2,-2.7652139529130695
2,-3.147252688127466
2,-3.0440985490353407
2,-3.0676817352953076
2,-3.0489849010571994
2,-3.1301191968166195
2,-2.9881328926532937
2,-2.9987770431568306
2,-2.5834357870632347
2,-3.1332786667461843
2,-2.971990547797185
2,-3.0314919285514224
2,-2.3648620715015993
2,-2.8676102461774953
2,-2.4525171579077587
3,-5.705632678616267
3,-5.719847502097741
3,-5.507764851895914
3,-5.750949769123382
3,-5.585109396589599
3,-5.634028977649885
3,-5.6258802597244
3,-5.676544610616709
3,-5.6057824396893094
3,-5.598793901872128
3,-5.620705456062602
3,-5.5624961694366775
3,-5.583657288939399
3,-5.589319342534288
3,-5.622770345243806
3,-5.6635358822391195
3,-5.564043642532695
3,-5.685745332920914
3,-5.590064175592579
3,-5.594189362455428
3,-5.677436830810811
3,-5.743906041481514
3,-5.556904457615018
3,-5.657110996907673
3,-5.611084519718854
3,-5.578163835208279
3,-5.636688098703879
3,-5.689201813788142
3,-5.537348710017739
3,-5.535327807402301
3,-5.749126851968883
3,-5.574773563764676
3,-5.608093800566784
3,-5.433711677745354
3,-5.5670770167156585
4,-4.92442972250471
4,-4.3162969300903065
4,-3.635276739539228
4,-4.3754649921614766
4,-5.475611336890889
4,-4.314596145316131
4,-4.603286712903925
4,-3.9896454265010646
4,-4.9857986647551025
4,-5.186530561111422
4,-4.2164612868902385
4,-4.229459603579192
4,-4.633435826266119
4,-5.729538026194408
4,-4.1610670818222415
4,-3.9836178276331022
4,-3.7499429087305014
4,-4.270019855738538
4,-4.290965708670838
4,-4.7375421672438955
4,-4.314549584409911
4,-4.076706236675296
4,-4.068826834123713
4,-4.054023037219902
4,-4.033241097933092
4,-4.09486333382978
4,-4.131936575150958
4,-5.109881395012835
4,-4.229343450333416
4,-4.984329749240088
4,-4.819294362334857
4,-4.067780812093246
4,-4.559725788416837
4,-4.459236986623686
4,-4.127147009931199
5,-4.395490887035807
5,-4.265505546616521
5,-4.594585844439427
5,-4.3637556240678315
5,-4.611000709606933
5,-4.982673696728655
5,-4.32597697625113
5,-4.45705226157867
5,-4.32700240470031
5,-4.1903302505170466
5,-4.276053710074702
5,-4.113893517225469
5,-4.669221830591272
5,-4.423623728593315
5,-4.027847782619349
5,-4.382980601740614
5,-4.600365428176361
5,-4.539553218605327
5,-4.345435698742297
5,-4.346826233536105
5,-4.165619449487192
5,-4.561138752663147
5,-4.361184506529752
5,-4.312434891176268
5,-4.659085259394925
5,-4.646119030478113
5,-4.450396792388969
5,-5.089905107806287
5,-4.099476457657952
5,-4.237573439701497
5,-4.420606186697274
5,-4.864176544358633
5,-4.2027944487769755
5,-4.200001714587686
5,-4.178147921642851
