fold,slope
1,-7.743807117951905
1,-5.528891463457444
1,-4.444783821879266
1,-6.3859110606685565
1,-5.275168807689197
1,-4.671672908623873
1,-6.145359942644907
1,-4.7078239849831975
1,-3.7361772396686153
1,-4.441114168958251
1,-6.849771430596645
1,-5.829433758290484
1,-5.772861767724116
1,-6.799539550330024
1,-6.27223854409303
1,-5.998531087089233
1,-4.773323647928647
1,-5.922912053926714
1,-4.750659396376406
1,-6.238441836699044
1,-4.119805750190209
1,-4.12020229646066
1,-4.077946133779806
1,-4.648329734775258
1,-6.155810626942608
1,-4.6708869614618935
1,-6.296955589552536
1,-5.090430444766843
1,-6.675811504493034
1,-4.631597883988983
1,-3.8884365609456335
1,-5.394175739175942
1,-5.9827215021581495
1,-3.331177963692793
1,-7.390757907626718
1,-4.212751965518872
2,-3.265999467003496
2,-3.8424316610831255
2,-3.4719530291200043
2,-3.7014247811616596
2,-3.23215867735734
2,-2.275271009222214
2,-3.067772463316934
2,-3.570646627955634
2,-3.979218449065913
2,-3.3231543085261412
2,-3.0249242490531705
2,-3.6054401571314076
2,-3.176493033382939
2,-4.343015562642303
2,-3.048914377174843
2,-2.651655825727593
2,-3.9960992933333452
2,-3.0720311527858213
2,-3.134761383721455
2,-3.5680895654049536
2,-3.869029457406196
2,-3.0674349017070606
2,-3.427981388470813
2,-3.958140671377927
2,-3.480246637685113
2,-3.5776649931831606
2,-3.899477857705924
2,-4.432478061790203
2,-2.174358004748321
2,-4.800742190239654
2,-3.8165839910817128
2,-3.3270518013543118
2,-3.646823475995577
2,-3.1303220006296657
2,-3.958124851155669
3,-3.815959252893827
3,-4.013937367433563
3,-5.4567598576514
3,-3.3506535654709477
3,-5.405194930035792
3,-6.612146394502019
3,-3.7683105070811918
3,-5.040317757951698
3,-4.414910682165016
3,-4.007904228844401
3,-4.776663202489779
3,-4.791314160318092
3,-4.749422746738125
3,-4.345695984333633
3,-4.4005526498123295
3,-4.079582403933613
3,-5.972117344010561
3,-5.300798234161543
3,-3.702691825788604
3,-7.064240133776873
3,-3.3937441460124194
3,-6.690668934322292
3,-3.6578323241274346
3,-6.018458063429128
3,-4.426088228688902
3,-5.265588549376341
3,-6.000690429419699
3,-4.279378017658369
3,-4.496502891972258
3,-4.897756265219249
3,-4.79884449122697
3,-4.59548868927744
3,-4.11446453114035
3,-5.257636255801946
3,-5.359118956481739
4,-2.083041942217494
4,-4.967324826032862
4,-4.779469869495664
4,-2.9263809658758886
4,-6.0582833198785675
4,-4.980949520107087
4,-6.1119187040876035
4,-2.3129251355004867
4,-4.550907662400761
4,-2.225802406270373
4,-4.834498930501604
4,-3.4861865866790795
4,-4.506965285952125
4,-2.421029274645994
4,-3.944020788295484
4,-2.6165526502851013
4,-5.596095951506218
4,-3.927128862153202
4,-3.490919583872476
4,-5.427980688060046
4,-2.8161976622037046
4,-4.918357346407036
4,-3.371497947796745
4,-5.960273399884365
4,-3.7012549335297704
4,-3.462856468602797
4,-4.193078770420986
4,-6.555501538895479
4,-4.186116826203594
4,-4.707626066894468
4,-7.960177087421851
4,-2.8225667308819054
4,-4.1177005085805165
4,-6.503067194420602
4,-4.939183367984659
5,-5.911608895460604
5,-5.834038388759752
5,-3.5426335140918086
5,-3.9569070819064565
5,-5.364008068066521
5,-5.322334607594806
5,-5.688403357325459
5,-4.634891323117983
5,-5.67038924508281
5,-5.101813652739532
5,-4.272908515176424
5,-4.960735750474518
5,-5.622570070373193
5,-3.8370612557854167
5,-4.935421710580281
5,-3.9921925666533804
5,-4.4718212967284865
5,-5.498483460805165
5,-5.227027567361008
5,-5.975356267025931
5,-5.084472378869958
5,-5.272750434191991
5,-4.084370259460677
5,-5.54111648030256
5,-4.868389966660476
5,-5.121743131387161
5,-4.969478811433375
5,-4.792068736642774
5,-6.155945689633574
5,-6.324394612068033
5,-4.065350145397514
5,-5.559288247937888
5,-5.179657037811519
5,-4.430275483868711
5,-4.73117983932312
