fold,slope
1,-5.574807643890381
1,-5.5432658195495605
1,-5.517887592315674
1,-5.557300090789795
1,-5.395863056182861
1,-5.251463890075684
1,-5.5289387702941895
1,-5.576711177825928
1,-5.250585556030273
1,-5.38506555557251
1,-5.576263427734375
1,-5.43464469909668
1,-5.5409417152404785
1,-5.575966835021973
1,-5.520817279815674
1,-5.537186622619629
1,-4.849239349365234
1,-5.581662178039551
1,-5.38621711730957
1,-5.436055660247803
1,-3.6746747493743896
1,-5.127767562866211
1,-5.499833106994629
1,-4.796881198883057
1,-5.579198837280273
1,-5.487696170806885
1,-5.565586090087891
1,-5.47393274307251
1,-5.5777177810668945
1,-5.432563304901123
1,-5.390733242034912
1,-5.039035797119141
1,-5.5704474449157715
1,-1.255815029144287
1,-5.581004619598389
1,-5.3962578773498535
2,-2.3186099529266357
2,-2.3420989513397217
2,-2.1949408054351807
2,-2.368919849395752
2,-2.484919786453247
2,-2.298590660095215
2,-2.3315250873565674
2,-2.448218584060669
2,-2.3560049533843994
2,-2.325582981109619
2,-2.381226062774658
2,-2.279050827026367
2,-2.377363681793213
2,-2.2429685592651367
2,-2.389603853225708
2,-2.266433000564575
2,-2.370043992996216
2,-2.313147783279419
2,-2.3679845333099365
2,-2.417865037918091
2,-2.3995351791381836
2,-2.382267475128174
2,-2.3868534564971924
2,-2.228652238845825
2,-2.313178539276123
2,-2.4625439643859863
2,-2.338557481765747
2,-2.4066760540008545
2,-2.297785758972168
2,-2.3650894165039062
2,-2.39469838142395
2,-2.470047950744629
2,-2.395125389099121
2,-2.315108060836792
2,-2.3299553394317627
3,-5.868749618530273
3,-5.822951316833496
3,-5.880893230438232
3,-5.593999862670898
3,-5.882187843322754
3,-5.877618789672852
3,-4.919466495513916
3,-5.884255409240723
3,-5.872636318206787
3,-5.8915534019470215
3,-5.886843681335449
3,-5.661641597747803
3,-5.618412971496582
3,-5.839090824127197
3,-5.839852333068848
3,-5.531754493713379
3,-5.875174045562744
3,-5.893454074859619
3,-5.787688255310059
3,-5.874575138092041
3,-5.590181827545166
3,-5.878865718841553
3,-5.811290740966797
3,-5.888272762298584
3,-5.849792003631592
3,-5.880253314971924
3,-5.737218856811523
3,-5.829415798187256
3,-5.778006553649902
3,-5.742793560028076
3,-5.883244037628174
3,-3.4677913188934326
3,-4.437323093414307
3,-5.77142858505249
3,-5.885689735412598
4,-3.52470064163208
4,-4.979310035705566
4,-4.545624732971191
4,-4.784165382385254
4,-4.917537689208984
4,-4.915416717529297
4,-4.992849349975586
4,-4.945776462554932
4,-1.1836820840835571
4,-2.453300952911377
4,-2.520763397216797
4,-4.478634834289551
4,-4.853837490081787
4,-1.8613519668579102
4,-4.932217597961426
4,-4.93363094329834
4,-3.834627389907837
4,-4.343265056610107
4,-4.863450527191162
4,-4.982884407043457
4,-4.067089557647705
4,-4.984394550323486
4,-4.989952564239502
4,-4.97326135635376
4,-4.84957218170166
4,-4.951383590698242
4,-4.9945292472839355
4,-4.9941606521606445
4,-4.988436698913574
4,-3.553072214126587
4,-4.6858391761779785
4,-3.0702121257781982
4,-4.423295497894287
4,-4.3659820556640625
4,-4.589975833892822
5,-4.969425201416016
5,-5.0089287757873535
5,-4.0605645179748535
5,-4.979541778564453
5,-5.05163049697876
5,-4.936254501342773
5,-5.041637420654297
5,-4.841465473175049
5,-5.046059608459473
5,-4.757966041564941
5,-4.454372882843018
5,-5.0227885246276855
5,-5.051028251647949
5,-3.4716742038726807
5,-5.048401832580566
5,-4.959402561187744
5,-4.0007476806640625
5,-5.025356292724609
5,-5.030908107757568
5,-5.010650157928467
5,-5.056805610656738
5,-5.019695281982422
5,-4.7737627029418945
5,-5.061092376708984
5,-4.9520134925842285
5,-5.007607460021973
5,-4.956911563873291
5,-3.9006848335266113
5,-5.057961940765381
5,-5.048335552215576
5,-4.9852495193481445
5,-5.03461217880249
5,-5.057335376739502
5,-5.046031475067139
5,-5.0457353591918945
