fold,slope
1,-5.088986396789551
1,-5.058407783508301
1,-5.046852111816406
1,-5.076761722564697
1,-4.890223026275635
1,-4.9644880294799805
1,-5.091195106506348
1,-5.100497245788574
1,-5.000025272369385
1,-5.049217700958252
1,-5.089695930480957
1,-5.07351541519165
1,-5.068872451782227
1,-5.087520599365234
1,-5.030437469482422
1,-5.081000328063965
1,-5.063268661499023
1,-5.087655067443848
1,-5.020114421844482
1,-5.0571746826171875
1,-5.049242973327637
1,-4.859776496887207
1,-5.041570663452148
1,-5.039255142211914
1,-5.083898067474365
1,-5.038541316986084
1,-5.094021797180176
1,-5.068729400634766
1,-5.078388214111328
1,-5.045148849487305
1,-4.999408721923828
1,-5.077968597412109
1,-5.049903869628906
1,-4.961441516876221
1,-5.100087642669678
1,-5.024818420410156
2,-2.960653066635132
2,-2.896517753601074
2,-2.9112918376922607
2,-2.9555208683013916
2,-2.7876806259155273
2,-2.9621922969818115
2,-2.9713616371154785
2,-2.9684805870056152
2,-2.9343478679656982
2,-2.867464303970337
2,-2.943110466003418
2,-2.8824028968811035
2,-2.9357950687408447
2,-2.883765459060669
2,-2.9026949405670166
2,-2.847698211669922
2,-2.954660415649414
2,-2.886188507080078
2,-2.934823513031006
2,-2.8585383892059326
2,-2.9594924449920654
2,-2.9638848304748535
2,-2.9739110469818115
2,-2.890803098678589
2,-2.905698776245117
2,-2.930422782897949
2,-2.88337779045105
2,-2.8842945098876953
2,-2.9135804176330566
2,-3.0259695053100586
2,-2.8965420722961426
2,-2.9429423809051514
2,-3.0004987716674805
2,-2.796644449234009
2,-2.859818935394287
3,-6.069027423858643
3,-5.986289978027344
3,-6.072580814361572
3,-5.7811174392700195
3,-6.148646831512451
3,-6.157455921173096
3,-5.046956539154053
3,-4.347297668457031
3,-6.129154205322266
3,-6.160346031188965
3,-6.137528419494629
3,-5.718978404998779
3,-3.806777238845825
3,-4.1203508377075195
3,-6.064576148986816
3,-4.453066825866699
3,-6.153087615966797
3,-6.155317306518555
3,-3.0246171951293945
3,-6.148141860961914
3,-5.5542168617248535
3,-6.156310081481934
3,-6.126112937927246
3,-6.156497478485107
3,-6.109251022338867
3,-4.9297285079956055
3,-6.108239650726318
3,-4.622663497924805
3,-5.363853454589844
3,-6.153938293457031
3,-5.8700456619262695
3,-2.521500587463379
3,-3.0452208518981934
3,-5.32939338684082
3,-6.151985168457031
4,-2.859621047973633
4,-4.782852649688721
4,-4.508156776428223
4,-4.666536331176758
4,-4.690329551696777
4,-4.783342361450195
4,-4.766579627990723
4,-4.593513011932373
4,-4.133401870727539
4,-3.9951138496398926
4,-3.7307636737823486
4,-4.0591583251953125
4,-4.722344398498535
4,-3.2905948162078857
4,-4.284266948699951
4,-4.6313605308532715
4,-4.405146598815918
4,-4.520281791687012
4,-4.710568428039551
4,-4.512953281402588
4,-3.244452476501465
4,-4.796706676483154
4,-4.417117118835449
4,-4.8096604347229
4,-4.697959899902344
4,-4.630801200866699
4,-4.796321868896484
4,-4.821630477905273
4,-4.700423240661621
4,-4.452832221984863
4,-4.825307846069336
4,-3.970386028289795
4,-3.3080105781555176
4,-4.710262298583984
4,-4.723944664001465
5,-4.591978073120117
5,-4.734026908874512
5,-4.544099807739258
5,-4.671840190887451
5,-4.719571113586426
5,-4.735654830932617
5,-4.739262580871582
5,-4.7092156410217285
5,-4.724327087402344
5,-4.652311325073242
5,-4.671066761016846
5,-4.737237930297852
5,-4.749404430389404
5,-4.562366485595703
5,-4.72553014755249
5,-4.664227485656738
5,-4.564383029937744
5,-4.738082408905029
5,-4.550509452819824
5,-4.698081970214844
5,-4.708058834075928
5,-4.7400360107421875
5,-4.737010478973389
5,-4.743971824645996
5,-4.559087753295898
5,-4.705507278442383
5,-4.6693339347839355
5,-4.58099889755249
5,-4.6969075202941895
5,-4.644295692443848
5,-4.610994338989258
5,-4.753135681152344
5,-4.73040771484375
5,-4.720324993133545
5,-4.746245861053467
