fold,split,n,mean,std,median,extreme_pct,conc_1std
0,train,105,-4.470306742014112,6.17272539234126,-3.506461838575948,15.238095238095239,76.19047619047619
0,val,35,-4.472400591555374,4.545364785865001,-4.980366889023679,8.571428571428571,68.57142857142857
0,test,36,-4.732245145912975,7.191635941885413,-4.076542832520312,16.666666666666664,83.33333333333334
1,train,106,-4.205365310640531,6.4419466566774455,-3.4439536015312493,16.037735849056602,76.41509433962264
1,val,35,-4.682858330119587,5.889598341317169,-3.9444820582261793,14.285714285714285,80.0
1,test,35,-5.3316654110487205,5.183346921675228,-4.406274479085023,8.571428571428571,82.85714285714286
2,train,106,-5.056117693703506,6.311051128803156,-4.34795098642531,15.09433962264151,77.35849056603774
2,val,35,-4.672354011182707,5.494972456494236,-3.4103143146833537,14.285714285714285,77.14285714285715
2,test,35,-2.7656053698520218,5.781773382379127,-2.356115107913672,11.428571428571429,77.14285714285715
3,train,106,-4.814531089244287,6.442279610087985,-4.007445467005883,16.037735849056602,83.01886792452831
3,val,35,-2.7145411223047256,4.747782063333737,-3.1671258700696137,2.857142857142857,71.42857142857143
3,test,35,-5.455080546520778,5.965599941702928,-4.497841726618702,20.0,68.57142857142857
4,train,106,-5.199032693490716,6.115022968315627,-4.34795098642531,16.037735849056602,83.9622641509434
4,val,35,-2.6741616057887008,5.973831393966669,-2.3159203980099616,8.571428571428571,77.14285714285715
4,test,35,-4.33096949017619,5.869109853096357,-3.4103143146833537,14.285714285714285,71.42857142857143
